"Noun","High","Tall","c","d","GStat","Association"
"region",10,0,39664,1720,0.848902380322819,"high"
"ridge",10,0,39664,1720,0.848902380322819,"high"
"self-esteem",10,0,39664,1720,0.848902380322819,"high"
"seriousness",10,0,39664,1720,0.848902380322819,"high"
"valley",10,0,39664,1720,0.848902380322819,"high"
"$1.3",1,0,39673,1720,0.0848808103200906,"high"
"$11",1,0,39673,1720,0.0848808103200906,"high"
"$55,000",1,0,39673,1720,0.0848808103200906,"high"
"%",1,0,39673,1720,0.0848808103200906,"high"
"-education",1,0,39673,1720,0.0848808103200906,"high"
"10%",1,0,39673,1720,0.0848808103200906,"high"
"18-hole",1,0,39673,1720,0.0848808103200906,"high"
"2%",1,0,39673,1720,0.0848808103200906,"high"
"25%",1,0,39673,1720,0.0848808103200906,"high"
"39%",1,0,39673,1720,0.0848808103200906,"high"
"5-asa",1,0,39673,1720,0.0848808103200906,"high"
"50%",1,0,39673,1720,0.0848808103200906,"high"
"72%",1,0,39673,1720,0.0848808103200906,"high"
"95%",1,0,39673,1720,0.0848808103200906,"high"
"a-grade",1,0,39673,1720,0.0848808103200906,"high"
"a.c.",1,0,39673,1720,0.0848808103200906,"high"
"absentee",1,0,39673,1720,0.0848808103200906,"high"
"absorbency",1,0,39673,1720,0.0848808103200906,"high"
"abstraction",1,0,39673,1720,0.0848808103200906,"high"
"academic",1,0,39673,1720,0.0848808103200906,"high"
"accelerator",1,0,39673,1720,0.0848808103200906,"high"
"accountancy",1,0,39673,1720,0.0848808103200906,"high"
"accreditation",1,0,39673,1720,0.0848808103200906,"high"
"accumulator",1,0,39673,1720,0.0848808103200906,"high"
"acetaldehyde",1,0,39673,1720,0.0848808103200906,"high"
"acetate",1,0,39673,1720,0.0848808103200906,"high"
"acid",1,0,39673,1720,0.0848808103200906,"high"
"acorn",1,0,39673,1720,0.0848808103200906,"high"
"activist",1,0,39673,1720,0.0848808103200906,"high"
"actuance",1,0,39673,1720,0.0848808103200906,"high"
"acuity",1,0,39673,1720,0.0848808103200906,"high"
"adcc",1,0,39673,1720,0.0848808103200906,"high"
"additionality",1,0,39673,1720,0.0848808103200906,"high"
"adenylate",1,0,39673,1720,0.0848808103200906,"high"
"adherence",1,0,39673,1720,0.0848808103200906,"high"
"administrator",1,0,39673,1720,0.0848808103200906,"high"
"admiral'",1,0,39673,1720,0.0848808103200906,"high"
"adrenalin",1,0,39673,1720,0.0848808103200906,"high"
"adrenaline",1,0,39673,1720,0.0848808103200906,"high"
"aestheticism",1,0,39673,1720,0.0848808103200906,"high"
"afdc",1,0,39673,1720,0.0848808103200906,"high"
"age-adjusted",1,0,39673,1720,0.0848808103200906,"high"
"agreement",1,0,39673,1720,0.0848808103200906,"high"
"aircraft",1,0,39673,1720,0.0848808103200906,"high"
"airline",1,0,39673,1720,0.0848808103200906,"high"
"airspeed",1,0,39673,1720,0.0848808103200906,"high"
"alarm",1,0,39673,1720,0.0848808103200906,"high"
"alcoholic",1,0,39673,1720,0.0848808103200906,"high"
"alititude",1,0,39673,1720,0.0848808103200906,"high"
"alkalinity.",1,0,39673,1720,0.0848808103200906,"high"
"allegiance",1,0,39673,1720,0.0848808103200906,"high"
"altiplano",1,0,39673,1720,0.0848808103200906,"high"
"alumina",1,0,39673,1720,0.0848808103200906,"high"
"ambient",1,0,39673,1720,0.0848808103200906,"high"
"ambiguity",1,0,39673,1720,0.0848808103200906,"high"
"amenity",1,0,39673,1720,0.0848808103200906,"high"
"amino-acid",1,0,39673,1720,0.0848808103200906,"high"
"amplidue",1,0,39673,1720,0.0848808103200906,"high"
"animacy",1,0,39673,1720,0.0848808103200906,"high"
"anisotropy",1,0,39673,1720,0.0848808103200906,"high"
"ankle",1,0,39673,1720,0.0848808103200906,"high"
"ankle-strapped",1,0,39673,1720,0.0848808103200906,"high"
"annual",1,0,39673,1720,0.0848808103200906,"high"
"anthropoid",1,0,39673,1720,0.0848808103200906,"high"
"anti-hepatitis",1,0,39673,1720,0.0848808103200906,"high"
"apc",1,0,39673,1720,0.0848808103200906,"high"
"apennine",1,0,39673,1720,0.0848808103200906,"high"
"apo",1,0,39673,1720,0.0848808103200906,"high"
"application",1,0,39673,1720,0.0848808103200906,"high"
"approach",1,0,39673,1720,0.0848808103200906,"high"
"approval",1,0,39673,1720,0.0848808103200906,"high"
"aptitude",1,0,39673,1720,0.0848808103200906,"high"
"aragon",1,0,39673,1720,0.0848808103200906,"high"
"arena",1,0,39673,1720,0.0848808103200906,"high"
"argument",1,0,39673,1720,0.0848808103200906,"high"
"arsenic",1,0,39673,1720,0.0848808103200906,"high"
"arterial-alveolar",1,0,39673,1720,0.0848808103200906,"high"
"artifice",1,0,39673,1720,0.0848808103200906,"high"
"arêtes",1,0,39673,1720,0.0848808103200906,"high"
"asbestos",1,0,39673,1720,0.0848808103200906,"high"
"asking",1,0,39673,1720,0.0848808103200906,"high"
"aspect-ratio",1,0,39673,1720,0.0848808103200906,"high"
"assembly",1,0,39673,1720,0.0848808103200906,"high"
"asset",1,0,39673,1720,0.0848808103200906,"high"
"attack",1,0,39673,1720,0.0848808103200906,"high"
"attaining",1,0,39673,1720,0.0848808103200906,"high"
"attainment",1,0,39673,1720,0.0848808103200906,"high"
"attic",1,0,39673,1720,0.0848808103200906,"high"
"attribute",1,0,39673,1720,0.0848808103200906,"high"
"attrition",1,0,39673,1720,0.0848808103200906,"high"
"auctoritee",1,0,39673,1720,0.0848808103200906,"high"
"audit",1,0,39673,1720,0.0848808103200906,"high"
"authentication",1,0,39673,1720,0.0848808103200906,"high"
"authorisation",1,0,39673,1720,0.0848808103200906,"high"
"avant-garde",1,0,39673,1720,0.0848808103200906,"high"
"averaging",1,0,39673,1720,0.0848808103200906,"high"
"back-wall",1,0,39673,1720,0.0848808103200906,"high"
"backgroun",1,0,39673,1720,0.0848808103200906,"high"
"badge",1,0,39673,1720,0.0848808103200906,"high"
"bailiff",1,0,39673,1720,0.0848808103200906,"high"
"balloon",1,0,39673,1720,0.0848808103200906,"high"
"banana",1,0,39673,1720,0.0848808103200906,"high"
"bargaining",1,0,39673,1720,0.0848808103200906,"high"
"basement",1,0,39673,1720,0.0848808103200906,"high"
"basicity",1,0,39673,1720,0.0848808103200906,"high"
"beach",1,0,39673,1720,0.0848808103200906,"high"
"beacon",1,0,39673,1720,0.0848808103200906,"high"
"bear",1,0,39673,1720,0.0848808103200906,"high"
"becuase",1,0,39673,1720,0.0848808103200906,"high"
"beech-tree",1,0,39673,1720,0.0848808103200906,"high"
"beechtree",1,0,39673,1720,0.0848808103200906,"high"
"beer",1,0,39673,1720,0.0848808103200906,"high"
"belief",1,0,39673,1720,0.0848808103200906,"high"
"belvedere",1,0,39673,1720,0.0848808103200906,"high"
"bend",1,0,39673,1720,0.0848808103200906,"high"
"beta-radiation",1,0,39673,1720,0.0848808103200906,"high"
"beverage",1,0,39673,1720,0.0848808103200906,"high"
"bicycle",1,0,39673,1720,0.0848808103200906,"high"
"bile",1,0,39673,1720,0.0848808103200906,"high"
"biliary",1,0,39673,1720,0.0848808103200906,"high"
"biorhythm",1,0,39673,1720,0.0848808103200906,"high"
"bird-table",1,0,39673,1720,0.0848808103200906,"high"
"birefringence",1,0,39673,1720,0.0848808103200906,"high"
"birefringence.",1,0,39673,1720,0.0848808103200906,"high"
"blood-",1,0,39673,1720,0.0848808103200906,"high"
"blood-fat",1,0,39673,1720,0.0848808103200906,"high"
"bloodstock",1,0,39673,1720,0.0848808103200906,"high"
"bloom",1,0,39673,1720,0.0848808103200906,"high"
"blue",1,0,39673,1720,0.0848808103200906,"high"
"boat",1,0,39673,1720,0.0848808103200906,"high"
"bodice",1,0,39673,1720,0.0848808103200906,"high"
"body-level",1,0,39673,1720,0.0848808103200906,"high"
"boiler",1,0,39673,1720,0.0848808103200906,"high"
"bonnet",1,0,39673,1720,0.0848808103200906,"high"
"boredom",1,0,39673,1720,0.0848808103200906,"high"
"borogravian",1,0,39673,1720,0.0848808103200906,"high"
"bough",1,0,39673,1720,0.0848808103200906,"high"
"bounce",1,0,39673,1720,0.0848808103200906,"high"
"bourgeoisie",1,0,39673,1720,0.0848808103200906,"high"
"bowel",1,0,39673,1720,0.0848808103200906,"high"
"bowthorpe",1,0,39673,1720,0.0848808103200906,"high"
"bracket",1,0,39673,1720,0.0848808103200906,"high"
"brand",1,0,39673,1720,0.0848808103200906,"high"
"breakdown",1,0,39673,1720,0.0848808103200906,"high"
"broken-glass-topped",1,0,39673,1720,0.0848808103200906,"high"
"brown-polished",1,0,39673,1720,0.0848808103200906,"high"
"buckle",1,0,39673,1720,0.0848808103200906,"high"
"buckminsterfullerene",1,0,39673,1720,0.0848808103200906,"high"
"buffalo",1,0,39673,1720,0.0848808103200906,"high"
"bug",1,0,39673,1720,0.0848808103200906,"high"
"bulk",1,0,39673,1720,0.0848808103200906,"high"
"burglary",1,0,39673,1720,0.0848808103200906,"high"
"burnside",1,0,39673,1720,0.0848808103200906,"high"
"burnton",1,0,39673,1720,0.0848808103200906,"high"
"burwardsley",1,0,39673,1720,0.0848808103200906,"high"
"butter",1,0,39673,1720,0.0848808103200906,"high"
"button",1,0,39673,1720,0.0848808103200906,"high"
"buy-in",1,0,39673,1720,0.0848808103200906,"high"
"ca-dbfast",1,0,39673,1720,0.0848808103200906,"high"
"cabin",1,0,39673,1720,0.0848808103200906,"high"
"caffeine",1,0,39673,1720,0.0848808103200906,"high"
"calculation",1,0,39673,1720,0.0848808103200906,"high"
"can",1,0,39673,1720,0.0848808103200906,"high"
"can-can",1,0,39673,1720,0.0848808103200906,"high"
"canadian",1,0,39673,1720,0.0848808103200906,"high"
"cancer-killing",1,0,39673,1720,0.0848808103200906,"high"
"canvas",1,0,39673,1720,0.0848808103200906,"high"
"capacitance",1,0,39673,1720,0.0848808103200906,"high"
"capital-labour",1,0,39673,1720,0.0848808103200906,"high"
"capitation",1,0,39673,1720,0.0848808103200906,"high"
"carbonate",1,0,39673,1720,0.0848808103200906,"high"
"carbonation",1,0,39673,1720,0.0848808103200906,"high"
"carcass",1,0,39673,1720,0.0848808103200906,"high"
"carrier",1,0,39673,1720,0.0848808103200906,"high"
"carrying",1,0,39673,1720,0.0848808103200906,"high"
"cart",1,0,39673,1720,0.0848808103200906,"high"
"cast",1,0,39673,1720,0.0848808103200906,"high"
"casuality",1,0,39673,1720,0.0848808103200906,"high"
"cation",1,0,39673,1720,0.0848808103200906,"high"
"causeway",1,0,39673,1720,0.0848808103200906,"high"
"cautioning",1,0,39673,1720,0.0848808103200906,"high"
"cave",1,0,39673,1720,0.0848808103200906,"high"
"cavorting",1,0,39673,1720,0.0848808103200906,"high"
"cc",1,0,39673,1720,0.0848808103200906,"high"
"cedar",1,0,39673,1720,0.0848808103200906,"high"
"celebration",1,0,39673,1720,0.0848808103200906,"high"
"cell",1,0,39673,1720,0.0848808103200906,"high"
"cell-count",1,0,39673,1720,0.0848808103200906,"high"
"cetane",1,0,39673,1720,0.0848808103200906,"high"
"cgmp",1,0,39673,1720,0.0848808103200906,"high"
"chairlift",1,0,39673,1720,0.0848808103200906,"high"
"chamber",1,0,39673,1720,0.0848808103200906,"high"
"change",1,0,39673,1720,0.0848808103200906,"high"
"channel",1,0,39673,1720,0.0848808103200906,"high"
"charisma",1,0,39673,1720,0.0848808103200906,"high"
"check",1,0,39673,1720,0.0848808103200906,"high"
"cheek-boned",1,0,39673,1720,0.0848808103200906,"high"
"cheese",1,0,39673,1720,0.0848808103200906,"high"
"chick",1,0,39673,1720,0.0848808103200906,"high"
"chignon",1,0,39673,1720,0.0848808103200906,"high"
"childcare",1,0,39673,1720,0.0848808103200906,"high"
"chloride",1,0,39673,1720,0.0848808103200906,"high"
"chlorine",1,0,39673,1720,0.0848808103200906,"high"
"chocolate",1,0,39673,1720,0.0848808103200906,"high"
"choir",1,0,39673,1720,0.0848808103200906,"high"
"cholesterol/phospholipid",1,0,39673,1720,0.0848808103200906,"high"
"chopping",1,0,39673,1720,0.0848808103200906,"high"
"chordate",1,0,39673,1720,0.0848808103200906,"high"
"christmas",1,0,39673,1720,0.0848808103200906,"high"
"churchmanship",1,0,39673,1720,0.0848808103200906,"high"
"churchyard",1,0,39673,1720,0.0848808103200906,"high"
"circling",1,0,39673,1720,0.0848808103200906,"high"
"circulating",1,0,39673,1720,0.0848808103200906,"high"
"cistern",1,0,39673,1720,0.0848808103200906,"high"
"citadel",1,0,39673,1720,0.0848808103200906,"high"
"citation",1,0,39673,1720,0.0848808103200906,"high"
"citizen",1,0,39673,1720,0.0848808103200906,"high"
"civilisation",1,0,39673,1720,0.0848808103200906,"high"
"clarinet",1,0,39673,1720,0.0848808103200906,"high"
"classroom",1,0,39673,1720,0.0848808103200906,"high"
"cleric",1,0,39673,1720,0.0848808103200906,"high"
"clifftop",1,0,39673,1720,0.0848808103200906,"high"
"climate",1,0,39673,1720,0.0848808103200906,"high"
"clock-speed",1,0,39673,1720,0.0848808103200906,"high"
"clock-tower",1,0,39673,1720,0.0848808103200906,"high"
"clocktower",1,0,39673,1720,0.0848808103200906,"high"
"clothing",1,0,39673,1720,0.0848808103200906,"high"
"cloze",1,0,39673,1720,0.0848808103200906,"high"
"cluster",1,0,39673,1720,0.0848808103200906,"high"
"coastline",1,0,39673,1720,0.0848808103200906,"high"
"cobble",1,0,39673,1720,0.0848808103200906,"high"
"coefficient",1,0,39673,1720,0.0848808103200906,"high"
"col",1,0,39673,1720,0.0848808103200906,"high"
"cologne",1,0,39673,1720,0.0848808103200906,"high"
"colon",1,0,39673,1720,0.0848808103200906,"high"
"colonisation",1,0,39673,1720,0.0848808103200906,"high"
"coloration",1,0,39673,1720,0.0848808103200906,"high"
"combat",1,0,39673,1720,0.0848808103200906,"high"
"combination",1,0,39673,1720,0.0848808103200906,"high"
"comfort",1,0,39673,1720,0.0848808103200906,"high"
"commisioner",1,0,39673,1720,0.0848808103200906,"high"
"commonality",1,0,39673,1720,0.0848808103200906,"high"
"communication",1,0,39673,1720,0.0848808103200906,"high"
"commuting",1,0,39673,1720,0.0848808103200906,"high"
"company",1,0,39673,1720,0.0848808103200906,"high"
"compatibility",1,0,39673,1720,0.0848808103200906,"high"
"competence",1,0,39673,1720,0.0848808103200906,"high"
"compilation",1,0,39673,1720,0.0848808103200906,"high"
"component",1,0,39673,1720,0.0848808103200906,"high"
"computing",1,0,39673,1720,0.0848808103200906,"high"
"concept",1,0,39673,1720,0.0848808103200906,"high"
"conducting",1,0,39673,1720,0.0848808103200906,"high"
"conduction",1,0,39673,1720,0.0848808103200906,"high"
"configuration",1,0,39673,1720,0.0848808103200906,"high"
"confirmation",1,0,39673,1720,0.0848808103200906,"high"
"congratulations",1,0,39673,1720,0.0848808103200906,"high"
"consent",1,0,39673,1720,0.0848808103200906,"high"
"consequence",1,0,39673,1720,0.0848808103200906,"high"
"consideration",1,0,39673,1720,0.0848808103200906,"high"
"containment",1,0,39673,1720,0.0848808103200906,"high"
"contamination",1,0,39673,1720,0.0848808103200906,"high"
"contour",1,0,39673,1720,0.0848808103200906,"high"
"contraction",1,0,39673,1720,0.0848808103200906,"high"
"contralto",1,0,39673,1720,0.0848808103200906,"high"
"contributor",1,0,39673,1720,0.0848808103200906,"high"
"convent",1,0,39673,1720,0.0848808103200906,"high"
"convexity",1,0,39673,1720,0.0848808103200906,"high"
"cooperativity",1,0,39673,1720,0.0848808103200906,"high"
"cordillera",1,0,39673,1720,0.0848808103200906,"high"
"correspondence",1,0,39673,1720,0.0848808103200906,"high"
"corrie",1,0,39673,1720,0.0848808103200906,"high"
"corry",1,0,39673,1720,0.0848808103200906,"high"
"cortex",1,0,39673,1720,0.0848808103200906,"high"
"cosmic-ray",1,0,39673,1720,0.0848808103200906,"high"
"cot-sided",1,0,39673,1720,0.0848808103200906,"high"
"cotton",1,0,39673,1720,0.0848808103200906,"high"
"counterpart",1,0,39673,1720,0.0848808103200906,"high"
"county",1,0,39673,1720,0.0848808103200906,"high"
"covenant",1,0,39673,1720,0.0848808103200906,"high"
"cover-set",1,0,39673,1720,0.0848808103200906,"high"
"craft",1,0,39673,1720,0.0848808103200906,"high"
"crankcase",1,0,39673,1720,0.0848808103200906,"high"
"crans-sur-sierre",1,0,39673,1720,0.0848808103200906,"high"
"cratering",1,0,39673,1720,0.0848808103200906,"high"
"creche",1,0,39673,1720,0.0848808103200906,"high"
"credit-card",1,0,39673,1720,0.0848808103200906,"high"
"crest",1,0,39673,1720,0.0848808103200906,"high"
"crew",1,0,39673,1720,0.0848808103200906,"high"
"crimson",1,0,39673,1720,0.0848808103200906,"high"
"crisis",1,0,39673,1720,0.0848808103200906,"high"
"criterion",1,0,39673,1720,0.0848808103200906,"high"
"critic",1,0,39673,1720,0.0848808103200906,"high"
"criticality",1,0,39673,1720,0.0848808103200906,"high"
