"Lemma","Wordform","TokenID","FileID"
"mini-production","mini-production",136102,"A06"
"mini-production","mini-production",136364,"A06"
"mini-com","Minicom",371237,"A0E"
"mini-sharpening_steel","mini-sharpening",432053,"A0G"
"mini-sleeper","mini-sleeper",450424,"A0G"
"mini-sleeper","minisleepers",450448,"A0G"
"mini-pill","MINI-PILL",518162,"A0J"
"mini-pill","mini-pill",518342,"A0J"
"mini-pill","Mini-pill",520658,"A0J"
"mini-temple","mini-temple",719701,"A0P"
"mini-advertising","mini-advertising",745086,"A0P"
"mini-buffet","mini-buffet",1034888,"A11"
"mini-buffet","mini-buffets",1035111,"A11"
"mini-link","MiniLink",1039689,"A11"
"mini-forest","mini-forest",1150615,"A15"
"mini-trunking","mini-trunking",1172703,"A16"
"mini-trunking","mini-trunking",1172714,"A16"
"mini-trunking","mini-trunking",1173372,"A16"
"mini-trunking","mini-trunking",1173384,"A16"
"mini-tour","Mini-Tour",1289876,"A19"
"mini-cab","mini-cab",1416422,"A1D"
"mini-skirt","mini-skirts",1494515,"A1N"
"mini-constitution","mini-constitution",1535060,"A1V"
"mini-constitution","mini-constitution",1541741,"A1V"
"mini-constitution","mini-constitution",1542167,"A1V"
"mini-series","mini-series",1599356,"A25"
"mini-conglomerate","mini-conglomerate",1605676,"A26"
"mini-series","mini-series",1665610,"A2D"
"mini-dress","mini-dress",1736751,"A2N"
"mini-season","mini-seasons",1844494,"A32"
"mini-skirt","mini-skirt",1866560,"A35"
"mini-conglomerate","mini-conglomerate",1884679,"A37"
"mini-conglomerate","mini-conglomerate",1885844,"A37"
"mini-cab","mini-cab",1955993,"A3K"
"mini-master","mini-Masters",1965081,"A3L"
"mini-summit","mini-summit",2027378,"A3U"
"mini-conglomerate","mini-conglomerate",2183092,"A4F"
"mini-skirt","mini-skirt",2352966,"A56"
"mini-skirt","mini-skirts",2353252,"A56"
"mini-cab","mini-cab",2353692,"A56"
"mini-cab","mini-cab",2353715,"A56"
"mini-skirt","mini-skirt",2390213,"A59"
"mini-skirt","mini-skirt",2390505,"A59"
"mini-van","minivans",2444536,"A5G"
"mini-van","minivan",2444656,"A5G"
"mini-hero","mini-hero",2529547,"A5V"
"mini-hero","mini-hero",2529573,"A5V"
"mini-computer","minicomputers",2610498,"A60"
"mini-trespass","mini-trespass",2753266,"A65"
"mini-budget","mini-budget",2788100,"A66"
"mini-bus","minibus",2851082,"A67"
"mini-cinema","mini-cinema",3101827,"A6C"
"mini-country","mini-country",3405465,"A6M"
"mini-feeder","mini-feeder",3480943,"A6R"
"mini-series","mini-series",3482302,"A6R"
"mini-car","minicar",3616251,"A6V"
"mini-bus","minibus",3663468,"A6W"
"mini-bus","minibus",3947485,"A77"
"mini-bus","minibus",3983566,"A77"
"mini-summa","mini-Summa",4110122,"A7C"
"mini-major","mini-majors",4357830,"A7L"
"mini-dress","mini-dress",4412809,"A7S"
"mini-bar","mini-bar",4547273,"A89"
"mini-computer","minicomputer",4581417,"A8E"
"mini-supercomputer","mini-supercomputers",4674466,"A8R"
"mini-/mainframe","mini/mainframe",4674771,"A8R"
"mini-computer","minicomputer",4675000,"A8R"
"mini-computer","minicomputer",4686464,"A8U"
"mini-computer","minicomputer",4686468,"A8U"
"mini-drama","mini-drama",4719490,"A8X"
"mini-conglomerate","mini-conglomerate",4769157,"A94"
"mini-blob","mini-blob",4791542,"A96"
"mini-conglomerate","mini-conglomerate",4842449,"A9D"
"mini-conglomerate","mini-conglomerate",4851436,"A9D"
"mini-bus","minibus",4953958,"A9M"
"mini-cab","minicab",5200698,"AAC"
"mini-cab","minicab",5200776,"AAC"
"mini-cab","minicab",5201129,"AAC"
"mini-cab","minicab",5201196,"AAC"
"mini-timbered","mini-timbered",5314804,"AAR"
"mini-crash","mini-crash",5318804,"AAS"
"mini-series","mini-series",5759778,"ABD"
"mini-revolution","mini-revolution",5785774,"ABD"
"mini-skirt","Miniskirts",5836895,"ABE"
"mini-bank","mini-bank",5936859,"ABF"
"mini-thesis","mini-thesis",5961623,"ABG"
"mini-version","mini-version",6061072,"ABH"
"mini-van","minivan",6135311,"ABJ"
"mini-flutter","mini-flutter",6236676,"ABK"
"mini-triumph","mini-triumph",6397922,"ABR"
"mini-drama","mini-drama",6411906,"ABR"
"mini-cab","minicab",6432874,"ABS"
"mini-van","mini-van",6463096,"ABS"
"mini-van","mini-van",6463333,"ABS"
"mini-bus","minibus",6583660,"ABW"
"mini-skirt","miniskirts",6737605,"AC3"
"mini-breakdown","mini-breakdown",6743681,"AC3"
"mini-cab","mini-cab",7241325,"ACK"
"mini-skirt","mini-skirts",7253740,"ACK"
"mini-skirt","mini-skirt",7263828,"ACK"
"mini-skirt","mini-skirts",7265897,"ACK"
"mini-skirt","mini-skirts",7266117,"ACK"
"mini-skirt","mini-skirts",7266300,"ACK"
"mini-bridal_trousseau","mini-bridal",7288845,"ACL"
"mini-studio","mini-studio",7361765,"ACN"
"mini-series","mini-series",7367286,"ACN"
"mini-suite","mini-suites",7386323,"ACN"
"mini-bus","mini-buses",7413185,"ACP"
"mini-skirt","mini-skirt",7425036,"ACP"
"mini-console","mini-console",7472780,"ACR"
"mini-digger","mini-digger",7492313,"ACR"
"mini-celebration","mini-celebrations",7506478,"ACS"
"mini-meadow","mini-meadow",7624028,"ACX"
"mini-meadow","mini-meadow",7639825,"ACX"
"mini-meadow","mini-meadow",7640169,"ACX"
"mini-meadow","mini-meadow",7641218,"ACX"
"mini-costa","mini-Costa",7641547,"ACX"
"mini-farm","mini-farm",7658531,"ACX"
"mini-vegetable","mini-vegetables",7664713,"ACX"
"mini-goal","mini-goals",7727785,"AD0"
"mini-skirt","miniskirts",8152229,"ADG"
"mini-skirt","miniskirts",8167886,"ADG"
"mini-skirt","miniskirt",8178845,"ADG"
"mini-bus","minibuses",8217291,"ADK"
"mini-mag","MiniMag",8240075,"ADK"
"mini-mag","MiniMag",8243322,"ADK"
"mini-mag","MiniMag",8243363,"ADK"
"mini-finding","mini-finding",8248540,"ADL"
"mini-series","mini-series",8252540,"ADL"
"mini-finding","mini-finding",8257295,"ADL"
"mini-series","mini-series",8269173,"ADL"
"mini-series","mini-series",8381900,"ADR"
"mini-series","mini-series",8400520,"ADR"
"mini-skirt","mini-skirts",8407085,"ADR"
"mini-series","mini-series",8407409,"ADR"
"mini-series","mini-series",8407431,"ADR"
"mini-bus","minibus",9013385,"AHC"
"mini-cab","minicab",9036845,"AHF"
"mini-slab","mini-slabs",9053426,"AHF"
"mini-bus","minibus",9148639,"AHK"
"mini-cab","minicab",9190471,"AHN"
"mini-zyme","minizyme",9213838,"AHP"
"mini-zyme","minizyme",9213917,"AHP"
"mini-zyme","minizyme",9213961,"AHP"
"mini-skirt","mini-skirt",9301871,"AHX"
"mini-computer","minicomputer",9323835,"AHY"
"mini-computer","minicomputer",9324534,"AHY"
"mini-computer","minicomputer",9325010,"AHY"
"mini-series","mini-series",9329814,"AJ0"
"mini-rugby","mini-rugby",9441405,"AJA"
"mini-rugby","mini-rugby",9441482,"AJA"
"mini-cinema","mini-cinema",9505355,"AJF"
"mini-boom","mini-boom",9679324,"AJX"
"mini-cab","mini-cab",9725206,"AJY"
"mini-league","mini-league",9815614,"AK6"
"mini-league","mini-leagues",9815769,"AK6"
"mini-bus","mini-bus",9839027,"AK6"
"mini-skirt","mini-skirt",10163445,"AL0"
"mini-woodland","mini-woodland",10175066,"AL3"
"mini-league","Mini-leagues",10204273,"AL3"
"mini-league","mini-leagues",10204343,"AL3"
"mini-home","minihomes",10215154,"AL3"
"mini-war","mini-wars",10219455,"AL5"
"mini-bus","minibus",10230299,"AL6"
"mini-drama","mini-drama",10448735,"ALJ"
"mini-gas","MiniGas",10696734,"ALV"
"mini-chrom","Minichrom",10700696,"ALV"
"mini-market","mini-market",10857841,"AM0"
"mini-market","mini-market",10860990,"AM0"
"mini-bus","minibus",10883490,"AM0"
"mini-bus","minibuses",11093212,"AM9"
"mini-golf","minigolf",11209168,"AMD"
"mini-bar","minibar",11209235,"AMD"
"mini-bar","minibar",11213538,"AMD"
