"Word","a","b","c","d","GStat","Frequency"
"lot",14632,13329,245429,98090393,135898.957227075,"higher"
"number",15136,32326,244925,98071396,121310.719785588,"higher"
"couple",7042,4694,253019,98099028,68015.2496548105,"higher"
"series",5985,8237,254076,98095485,51871.3528618139,"higher"
"result",5610,16300,254451,98087422,41874.064134155,"higher"
"variety",4284,4368,255777,98099354,38955.5834801259,"higher"
"bit",5026,21444,255035,98082278,34141.5628053497,"higher"
"matter",4600,17145,255461,98086577,32336.9582762271,"higher"
"member",3950,13435,256111,98090287,28388.2027044336,"higher"
"range",3359,16417,256702,98087305,21982.0879712574,"higher"
"pair",2331,3593,257730,98100129,19769.6202291677,"higher"
"piece",2535,6477,257526,98097245,19442.4284670563,"higher"
"group",3540,37611,256521,98066111,18133.7293767159,"higher"
"kind",2599,20950,257462,98082772,14632.4618659249,"higher"
"sense",2503,18846,257558,98084876,14405.3246763397,"higher"
"copy",1760,4054,258301,98099668,13796.5274805326,"higher"
"period",2397,21711,257664,98082011,12977.3856016015,"higher"
"list",1950,10501,258111,98093221,12410.5328103811,"higher"
"sort",2315,24308,257746,98079414,11898.8592696209,"higher"
"total",1994,14147,258067,98089575,11689.8120811663,"higher"
"combination",1409,2906,258652,98100816,11297.6509072268,"higher"
"mixture",1231,1951,258830,98101771,10382.4791898795,"higher"
"set",2356,40912,257705,98062810,9908.83695871061,"higher"
"handful",964,386,259097,98103336,9833.42000336913,"higher"
"quarter",1428,5747,258633,98097975,9828.59533429621,"higher"
"cup",1414,10520,258647,98093202,8163.25112610179,"higher"
"means",1619,24574,258442,98079148,7209.21235482564,"higher"
"bottle",967,2962,259094,98100760,7113.49022653713,"higher"
"lack",1129,8399,258932,98095323,6516.86624223411,"higher"
"source",1087,7855,258974,98095867,6332.24893826742,"higher"
"form",1532,31580,258529,98072142,5953.02062413086,"higher"
"consequence",813,2568,259248,98101154,5937.23934326522,"higher"
"measure",879,5511,259182,98098211,5348.19934875221,"higher"
"part",1661,51753,258400,98051969,5201.40207642609,"higher"
"collection",893,6846,259168,98096876,5104.50065588411,"higher"
"degree",921,8718,259140,98095004,4906.19031053406,"higher"
"bunch",549,636,259512,98103086,4885.34324392436,"higher"
"way",1967,93734,258094,98009988,4682.18609827882,"higher"
"succession",570,1185,259491,98102537,4561.20000740013,"higher"
"picture",897,9707,259164,98094015,4555.67598038063,"higher"
"question",1173,24472,258888,98079250,4530.5874204813,"higher"
"state",1343,37196,258718,98066526,4490.76191155507,"higher"
"breach",639,2532,259422,98101190,4413.70952383871,"higher"
"glimpse",482,499,259579,98103223,4365.70188574277,"higher"
"host",613,2339,259448,98101383,4274.76985968995,"higher"
"load",607,2456,259454,98101266,4170.22450782541,"higher"
"selection",713,5277,259348,98098445,4121.25986172163,"higher"
"third",964,16454,259097,98087268,4080.44831068024,"higher"
"hint",482,948,259579,98102774,3900.00025155871,"higher"
"maximum",648,4233,259413,98099489,3893.60013134935,"higher"
"minimum",628,4220,259433,98099502,3740.92681401211,"higher"
"pile",469,1240,259592,98102482,3566.44002490541,"higher"
"fraction",429,1025,259632,98102697,3334.77148683596,"higher"
"glass",690,8648,259371,98095074,3315.67790993216,"higher"
"string",488,2069,259573,98101653,3312.08240407994,"higher"
"friend",819,15521,259242,98088201,3307.62029242574,"higher"
"study",885,20972,259176,98082750,3210.02711899277,"higher"
"meeting",827,19636,259234,98084086,2996.51907811092,"higher"
"waste",577,6032,259484,98097690,2966.78449079194,"higher"
"choice",685,11152,259376,98092570,2958.86895018785,"higher"
"multitude",295,173,259766,98103549,2886.5887803374,"higher"
"sign",593,7290,259468,98096432,2870.64837148911,"higher"
"majority",624,9192,259437,98094530,2811.0918233736,"higher"
"change",915,30551,259146,98073171,2749.22440307914,"higher"
"system",1041,43115,259020,98060607,2729.66146584803,"higher"
"reflection",389,1502,259672,98102220,2704.266509152,"higher"
"review",601,8972,259460,98094750,2692.5503528843,"higher"
"sample",482,4017,259579,98099705,2680.28933503212,"higher"
"feeling",640,11363,259421,98092359,2661.54697529666,"higher"
"function",558,7895,259503,98095827,2555.4170735699,"higher"
"wealth",438,3193,259623,98100529,2543.441150758,"higher"
"description",475,4517,259586,98099205,2525.51520842509,"higher"
"network",526,6659,259535,98097063,2517.48995059498,"higher"
"touch",536,7220,259525,98096502,2503.56954620085,"higher"
"proportion",503,6003,259558,98097719,2462.50177830502,"higher"
"survey",531,7570,259530,98096152,2424.2591008759,"higher"
"row",441,3965,259620,98099757,2390.43760799379,"higher"
"feature",473,5610,259588,98098112,2321.04124265843,"higher"
"team",657,16965,259404,98086757,2279.29647143212,"higher"
"few",907,41182,259154,98062540,2232.15617777308,"higher"
"shortage",314,1135,259747,98102587,2219.09468874803,"higher"
"note",525,9565,259536,98094157,2157.99584995471,"higher"
"mass",460,6698,259601,98097024,2081.92260794373,"higher"
"case",891,44183,259170,98059539,2056.98693142083,"higher"
"packet",279,857,259782,98102865,2050.32544405182,"higher"
"loss",522,10533,259539,98093189,2047.12485433283,"higher"
"percentage",343,2343,259718,98101379,2032.554652976,"higher"
"symbol",302,1405,259759,98102317,1999.55445526922,"higher"
"pint",274,911,259787,98102811,1976.18788688378,"higher"
"photograph",323,2144,259738,98101578,1930.95918458068,"higher"
"man",965,57783,259096,98045939,1919.80738243902,"higher"
"wave",345,3067,259716,98100655,1877.15923478099,"higher"
"slice",255,791,259806,98102931,1869.63796875386,"higher"
"history",591,18347,259470,98085375,1852.56119434505,"higher"
"sheet",350,3502,259711,98100220,1827.76673137938,"higher"
"sequence",356,3843,259705,98099879,1808.98268684208,"higher"
"programme",568,17796,259493,98085926,1770.99437065487,"higher"
"summary",309,2521,259752,98101201,1730.20468886234,"higher"
"method",426,8534,259635,98095188,1676.18317523693,"higher"
"bowl",275,1832,259786,98101890,1642.13870890806,"higher"
"statement",430,9327,259631,98094395,1628.90828691343,"higher"
"hell",344,4687,259717,98099035,1599.22706216264,"higher"
"continuation",210,556,259851,98103166,1596.21403517786,"higher"
"crowd",323,3808,259738,98099914,1588.40888195814,"higher"
"process",564,21838,259497,98081884,1545.05890819318,"higher"
"minority",293,3033,259768,98100689,1511.58417112295,"higher"
"product",418,10611,259643,98093111,1462.83737222953,"higher"
"flurry",154,122,259907,98103600,1449.97542141662,"higher"
"point",688,38673,259373,98065049,1441.12333309559,"higher"
"layer",256,2086,259805,98101636,1433.97514820356,"higher"
"stream",254,2135,259807,98101587,1408.21942320868,"higher"
"spate",156,165,259905,98103557,1408.09800072676,"higher"
"habit",248,1945,259813,98101777,1406.62518759885,"higher"
"cost",480,19396,259581,98084326,1278.63650439211,"higher"
"gesture",221,1685,259840,98102037,1264.94178370771,"higher"
"director",388,11770,259673,98091952,1232.16471866429,"higher"
"chance",391,12145,259670,98091577,1224.98895859113,"higher"
"flash",190,995,259871,98102727,1217.55419837232,"higher"
"vision",267,3831,259794,98099891,1215.53014759343,"higher"
"mouthful",143,219,259918,98103503,1213.03028042317,"higher"
"pack",239,2627,259822,98101095,1206.34742046162,"higher"
"record",411,14396,259650,98089326,1198.99896212127,"higher"
"sigh",183,885,259878,98102837,1198.88250734775,"higher"
"model",393,12793,259668,98090929,1198.07624781183,"higher"
"cloud",213,1722,259848,98102000,1196.17075091762,"higher"
"portion",182,889,259879,98102833,1189.07084396949,"higher"
"length",317,7073,259744,98096649,1184.24802202302,"higher"
"plethora",122,79,259939,98103643,1179.36536563591,"higher"
"multiplicity",129,138,259932,98103584,1162.31900518926,"higher"
"bundle",159,531,259902,98103191,1145.47390382464,"higher"
"mix",224,2406,259837,98101316,1140.20867516462,"higher"
"box",309,7141,259752,98096581,1134.41190761905,"higher"
"tour",286,6051,259775,98097671,1096.38454013368,"higher"
"reduction",258,4424,259803,98099298,1089.22939030972,"higher"
"rate",424,18090,259637,98085632,1088.91019245666,"higher"
"version",303,7386,259758,98096336,1082.74477766239,"higher"
"dose",188,1445,259873,98102277,1073.24771307464,"higher"
"line",456,22049,259605,98081673,1071.95163639052,"higher"
"gang",182,1319,259879,98102403,1058.65413548033,"higher"
"discussion",307,8025,259754,98095697,1057.84019112489,"higher"
"portrait",188,1514,259873,98102208,1057.10238985723,"higher"
"depth",219,2734,259842,98100988,1053.6012536839,"higher"
"condition",302,7753,259759,98095969,1050.56276292083,"higher"
"bag",258,4827,259803,98098895,1047.58707603834,"higher"
"background",268,5522,259793,98098200,1040.44419837946,"higher"
"vote",283,6568,259778,98097154,1036.72672133233,"higher"
"cluster",157,749,259904,98102973,1032.36157864381,"higher"
"reminder",160,822,259901,98102900,1030.81107647021,"higher"
"drop",251,4630,259810,98099092,1025.73316719017,"higher"
"theory",353,12456,259708,98091266,1025.08101557145,"higher"
"policy",467,25184,259594,98078538,1010.66777499653,"higher"
"comparison",227,3518,259834,98100204,1000.91215990006,"higher"
"view",456,24459,259605,98079263,991.007182671485,"higher"
"flock",143,587,259918,98103135,978.548793526548,"higher"
"pattern",296,8480,259765,98095242,970.572567274639,"higher"
"surge",143,632,259918,98103090,959.811307607716,"higher"
"flicker",120,272,259941,98103450,943.102618654911,"higher"
"chain",211,3263,259850,98100459,931.19488344685,"higher"
"victim",216,3616,259845,98100106,921.487977660322,"higher"
"clutch",124,366,259937,98103356,919.642989739565,"higher"
"taste",218,3756,259843,98099966,918.397267776312,"higher"
"verdict",156,1091,259905,98102631,917.595000530084,"higher"
"tenth",150,923,259911,98102799,917.371544832081,"higher"
"patch",167,1449,259894,98102273,916.035463916442,"higher"
"symptom",127,430,259934,98103292,911.898602994384,"higher"
"flood",158,1190,259903,98102532,907.86771239173,"higher"
"subsidiary",168,1573,259893,98102149,897.870741925495,"higher"
"revival",146,894,259915,98102828,894.207053561765,"higher"
"fellow",220,4111,259841,98099611,893.761483714876,"higher"
"representative",201,3237,259860,98100485,871.929296659187,"higher"
"pot",163,1539,259898,98102183,868.622665291803,"higher"
"block",211,3830,259850,98099892,868.525513017592,"higher"
"population",317,12663,259744,98091059,850.700748482761,"higher"
"heap",128,605,259933,98103117,843.786185751746,"higher"
"pool",205,3760,259856,98099962,839.877515639334,"higher"
"sip",103,212,259958,98103510,825.704141650922,"higher"
"bucket",132,795,259929,98102927,812.430894472494,"higher"
"trace",160,1748,259901,98101974,809.356503907468,"higher"
"type",344,16660,259717,98087062,807.607336494564,"higher"
"celebration",141,1079,259920,98102643,806.050590965105,"higher"
"fifth",182,2861,259879,98100861,797.660624531533,"higher"
"tin",154,1580,259907,98102142,796.950403209262,"higher"
"whiff",90,109,259971,98103613,794.944366906772,"higher"
"catalogue",169,2235,259892,98101487,794.921144895037,"higher"
"lifetime",153,1581,259908,98102141,789.747121315815,"higher"
"consideration",218,5173,259843,98098549,789.685510864692,"higher"
"letter",305,12916,259756,98090806,787.178737632436,"higher"
"game",316,14228,259745,98089494,781.741107064816,"higher"
"critique",125,746,259936,98102976,771.418569325849,"higher"
"moment",365,20377,259696,98083345,768.433052526451,"higher"
"subset",92,155,259969,98103567,766.820065421815,"higher"
"lump",133,1003,259928,98102719,763.890603992907,"higher"
"spot",202,4431,259859,98099291,760.877071131768,"higher"
"position",375,22078,259686,98081644,756.0235779206,"higher"
"mug",115,588,259946,98103134,741.86385877662,"higher"
"glimmer",85,113,259976,98103609,739.149434176159,"higher"
"knowledge",299,14013,259762,98089709,718.875641110378,"higher"
"plate",174,3196,259887,98100526,712.390671157624,"higher"
"charge",270,11095,259791,98092627,711.078650903729,"higher"
"manifestation",98,329,259963,98103393,705.104533110069,"higher"
"panel",163,2645,259898,98101077,704.773552809964,"higher"
"quantity",154,2192,259907,98101530,703.323362261825,"higher"
"strip",139,1521,259922,98102201,702.706281413511,"higher"
"herd",109,564,259952,98103158,700.817942803123,"higher"
"stretch",150,2036,259911,98101686,698.292432975772,"higher"
"package",203,5331,259858,98098391,697.70331215221,"higher"
"modicum",63,10,259998,98103712,689.622235202015,"higher"
"by-product",77,97,259984,98103625,675.693706989659,"higher"
"section",316,17886,259745,98085836,657.899828845933,"higher"
"clump",79,135,259982,98103587,656.708581865938,"higher"
"blend",107,690,259954,98103032,645.232726141859,"higher"
"sprinkling",73,90,259988,98103632,642.89179971222,"higher"
"distance",203,6251,259858,98097471,639.04632082056,"higher"
"map",171,3910,259890,98099812,631.041467130596,"higher"
"reversal",94,420,259967,98103302,629.080950586189,"higher"
"declaration",136,1883,259925,98101839,628.093768177985,"higher"
"repeat",146,2444,259915,98101278,622.838210516639,"higher"
"demonstration",129,1658,259932,98102064,613.596927087249,"higher"
"fool",127,1573,259934,98102149,612.813733144215,"higher"
"score",166,3806,259895,98099916,611.758846411589,"higher"
"stack",96,523,259965,98103199,608.304474881119,"higher"
"height",159,3405,259902,98100317,605.913345217421,"higher"
"fleet",119,1287,259942,98102435,604.173453314413,"higher"
"burst",140,2288,259921,98101434,603.468136118876,"higher"
"torrent",76,166,259985,98103556,601.90416299446,"higher"
"descendant",76,170,259985,98103552,598.939602450631,"higher"
"fragment",105,813,259956,98102909,597.9687076073,"higher"
"sum",167,4145,259894,98099577,591.165365235253,"higher"
"decade",158,3528,259903,98100194,589.952002693306,"higher"
"barrage",83,293,259978,98103429,589.929892119197,"higher"
"branch",167,4162,259894,98099560,589.915047424412,"higher"
"trail",110,1039,259951,98102683,586.085244241063,"higher"
"violation",87,381,259974,98103341,585.339511186657,"higher"
"code",177,5002,259884,98098720,584.696646364569,"higher"
"plurality",69,108,259992,98103614,582.98059845972,"higher"
"consortium",102,791,259959,98102931,580.591022074766,"higher"
"cause",251,12413,259810,98091309,580.166051206176,"higher"
"flight",166,4251,259895,98099471,578.140192179645,"higher"
"tangle",78,232,259983,98103490,577.449072527724,"higher"
"definition",170,4591,259891,98099131,575.600470243422,"higher"
"breath",168,4561,259893,98099161,567.213041649299,"higher"
"welter",61,55,260000,98103667,563.938183516934,"higher"
"factor",183,5852,259878,98097870,563.616555211991,"higher"
"rush",124,1828,259937,98101894,558.220116119054,"higher"
"figure",280,16764,259781,98086958,556.577987647354,"higher"
"fistful",52,12,260009,98103710,555.597187301419,"higher"
"display",177,5504,259884,98098218,554.056057330943,"higher"
"hierarchy",116,1494,259945,98102228,551.31063390875,"higher"
"corner",191,6877,259870,98096845,547.675798382576,"higher"
"legacy",102,944,259959,98102778,547.304932911529,"higher"
"word",288,18419,259773,98085303,541.007941068486,"higher"
"variant",83,424,259978,98103298,535.556984019002,"higher"
"ph",109,1290,259952,98102432,535.164610276215,"higher"
"mess",122,1921,259939,98101801,534.293894336516,"higher"
"sheaf",59,62,260002,98103660,533.064705752196,"higher"
"myriad",72,221,259989,98103501,529.150075056056,"higher"
"ton",78,335,259983,98103387,527.482697581117,"higher"
"twinge",57,55,260004,98103667,521.722694035544,"higher"
"tray",105,1205,259956,98102517,521.525103914912,"higher"
"resurgence",68,184,259993,98103538,514.338456759355,"higher"
"statue",92,777,259969,98102945,509.200251415353,"higher"
"figment",48,14,260013,98103708,503.656314632334,"higher"
"circle",131,2790,259930,98100932,500.525098229647,"higher"
"tradition",156,4666,259905,98099056,499.26677976074,"higher"
"share",233,12741,259828,98090981,498.607258802612,"higher"
"supporter",87,663,259974,98103059,497.999165663251,"higher"
"foretaste",48,16,260013,98103706,497.923765129204,"higher"
"rejection",102,1253,259959,98102469,493.731423958618,"higher"
"native",121,2324,259940,98101398,485.384460270017,"higher"
"transfer",168,5992,259893,98097730,484.543171917422,"higher"
"maze",71,302,259990,98103420,481.361539477232,"higher"
"pinch",76,418,259985,98103304,480.261352674141,"higher"
"bout",72,326,259989,98103396,480.140401962588,"higher"
"trio",80,526,259981,98103196,479.573205053046,"higher"
"tale",113,1938,259948,98101784,476.969767955695,"higher"
"doubling",75,410,259986,98103312,474.766222076654,"higher"
"world",490,56957,259571,98046765,474.078318577832,"higher"
"repetition",87,772,259974,98102950,473.583413950563,"higher"
"chorus",88,816,259973,98102906,471.866857874942,"higher"
"level",313,25353,259748,98078369,469.326184829194,"higher"
"scattering",74,402,259987,98103320,469.275941378111,"higher"
"pang",57,103,260004,98103619,468.812433672328,"higher"
"deficit",116,2203,259945,98101519,467.741465640514,"higher"
"basket",95,1123,259966,98102599,466.629095004901,"higher"
"band",163,5889,259898,98097833,466.378558986859,"higher"
"jug",74,413,259987,98103309,465.662941114399,"higher"
"body",296,23441,259765,98080281,454.270334906158,"higher"
"smattering",44,16,260017,98103706,452.827339039912,"higher"
"breakdown",96,1290,259965,98102432,448.682598826655,"higher"
"replica",65,259,259996,98103463,448.189210794372,"higher"
"batch",80,652,259981,98103070,448.037245138404,"higher"
"chunk",63,222,259998,98103500,447.969751448011,"higher"
"web",74,472,259987,98103250,447.705028420108,"higher"
"semblance",58,145,260003,98103577,446.402377805857,"higher"
"certificate",120,2732,259941,98100990,443.770081339861,"higher"
"peak",114,2375,259947,98101347,440.195317874836,"higher"
"turnover",117,2591,259944,98101131,438.625125145836,"higher"
"ratio",118,2677,259943,98101045,437.138297432272,"higher"
"microcosm",48,50,260013,98103672,434.26662349629,"higher"
"family",348,33345,259713,98070377,432.836076705511,"higher"
"term",208,11896,259853,98091826,429.352277523294,"higher"
"gust",51,82,260010,98103640,428.781559839239,"higher"
"test",199,10836,259862,98092886,427.251206123882,"higher"
"wad",50,74,260011,98103648,426.726603912149,"higher"
"conception",100,1683,259961,98102039,425.588340696802,"higher"
"representation",125,3359,259936,98100363,424.348426239589,"higher"
"surplus",103,1906,259958,98101816,420.260707583109,"higher"
"grant",166,7253,259895,98096469,419.280050291699,"higher"
"backdrop",66,358,259995,98103364,418.721370945925,"higher"
"shoal",56,160,260005,98103562,418.411057539379,"higher"
"class",236,16231,259825,98087491,415.26887897697,"higher"
"scrap",77,705,259984,98103017,414.687373018158,"higher"
"jumble",63,304,259998,98103418,412.951137558912,"higher"
"place",413,47404,259648,98056318,406.723911371456,"higher"
"blaze",73,607,259988,98103115,406.132994924952,"higher"
"concentration",124,3609,259937,98100113,402.969073673383,"higher"
"mode",108,2427,259953,98101295,401.971773573358,"higher"
"streak",63,335,259998,98103387,401.949649464701,"higher"
"climate",109,2528,259952,98101194,399.376949329784,"higher"
"suite",85,1142,259976,98102580,397.29364239973,"higher"
"cross-section",58,239,260003,98103483,396.481503204312,"higher"
"loaf",62,328,259999,98103394,396.141597565332,"higher"
"recurrence",66,440,259995,98103282,393.974433622404,"higher"
"coalition",100,2015,259961,98101707,392.282101268896,"higher"
"parody",56,219,260005,98103503,387.977345854289,"higher"
"denial",71,623,259990,98103099,387.954159806398,"higher"
"dearth",46,73,260015,98103649,387.672338851956,"higher"
"gift",110,2767,259951,98100955,386.678920771501,"higher"
"gaggle",37,12,260024,98103710,384.743942850794,"higher"
"spirit",147,6168,259914,98097554,381.698977791199,"higher"
"revision",77,890,259984,98102832,381.422844120163,"higher"
"prisoner",90,1536,259971,98102186,380.696896037,"higher"
"duty",158,7408,259903,98096314,379.692670662793,"higher"
"shower",87,1397,259974,98102325,377.839147028078,"higher"
"firm",193,11812,259868,98091910,376.538969440065,"higher"
"trickle",59,314,260002,98103408,376.336623181309,"higher"
"photo",77,925,259984,98102797,375.906631517119,"higher"
"characteristic",109,2855,259952,98100867,375.113534259812,"higher"
"modification",77,933,259984,98102789,374.674912252614,"higher"
"diversity",84,1268,259977,98102454,374.443211462854,"higher"
"recognition",137,5351,259924,98098371,373.016383344075,"higher"
"sliver",44,68,260017,98103654,372.61042827108,"higher"
"follower",50,145,260011,98103577,372.313610698748,"higher"
"profusion",48,117,260013,98103605,371.459325702396,"higher"
"rise",177,10024,259884,98093698,368.273216825017,"higher"
"register",109,2962,259952,98100760,367.805680370231,"higher"
"biography",71,738,259990,98102984,365.687449345464,"higher"
"pillar",58,326,260003,98103396,364.23296929578,"higher"
"swarm",44,77,260017,98103645,364.113495130858,"higher"
"boycott",62,440,259999,98103282,362.999238626246,"higher"
"hail",52,199,260009,98103523,362.244327150751,"higher"
"specimen",75,929,259986,98102793,361.874431129848,"higher"
"storm",93,1914,259968,98101808,361.192322321077,"higher"
"diet",116,3699,259945,98100023,357.830125577814,"higher"
"cascade",50,174,260011,98103548,356.617984401483,"higher"
"monopoly",84,1451,259977,98102271,353.43747907674,"higher"
"preponderance",45,103,260016,98103619,352.928049876384,"higher"
"component",100,2510,259961,98101212,351.919816913947,"higher"
"stab",57,343,260004,98103379,350.895794667836,"higher"
"surfeit",35,18,260026,98103704,347.66261711241,"higher"
"sensation",79,1231,259982,98102491,347.496706635875,"higher"
"battery",77,1143,259984,98102579,345.635805345381,"higher"
"contract",181,11574,259880,98092148,340.004299189859,"higher"
"re-run",40,61,260021,98103661,339.552628477918,"higher"
"profit",131,5550,259930,98098172,337.928492426748,"higher"
"listing",72,967,259989,98102755,336.574935324891,"higher"
"rash",56,368,260005,98103354,335.751853512106,"higher"
"mockery",52,265,260009,98103457,335.748849448305,"higher"
"dash",63,599,259998,98103123,334.887268004127,"higher"
"supply",162,9293,259899,98094429,333.562225219401,"higher"
"resumption",49,209,260012,98103513,331.96271349198,"higher"
"tinge",44,122,260017,98103600,330.988184714855,"higher"
"dozen",96,2507,259965,98101215,330.893901807194,"higher"
"portfolio",77,1295,259984,98102427,327.797089707766,"higher"
"mound",54,344,260007,98103378,326.823409094838,"higher"
"ripple",47,184,260014,98103538,325.533884125805,"higher"
"betrayal",56,409,260005,98103313,324.918030076137,"higher"
"guarantee",98,2776,259963,98100946,323.285795685779,"higher"
"heck",45,152,260016,98103570,323.285518378744,"higher"
"danger",127,5512,259934,98098210,322.243189052304,"higher"
"hive",46,177,260015,98103545,320.00560357404,"higher"
"build-up",56,440,260005,98103282,317.396362394486,"higher"
"field",185,13141,259876,98090581,315.851207790359,"higher"
"convoy",57,480,260004,98103242,315.782275681149,"higher"
"book",252,24078,259809,98079644,314.441407773591,"higher"
"reassessment",40,92,260021,98103630,313.393863990161,"higher"
"brace",47,214,260014,98103508,312.951403233728,"higher"
"graduate",69,1001,259992,98102721,312.665499940944,"higher"
"backlog",44,156,260017,98103566,312.395114179371,"higher"
"fear",149,8366,259912,98095356,312.162416154445,"higher"
"roll",99,3053,259962,98100669,311.357222161926,"higher"
"committee",218,18528,259843,98085194,310.589644387944,"higher"
"token",61,663,260000,98103059,309.128618695002,"higher"
"mood",98,3007,259963,98100715,309.101719476442,"higher"
"pupil",88,2222,259973,98101500,308.727407048523,"higher"
"caricature",43,146,260018,98103576,308.529977818321,"higher"
"shred",37,65,260024,98103657,305.961045140198,"higher"
"framework",106,3779,259955,98099943,305.786366404911,"higher"
"masterpiece",50,312,260011,98103410,304.498287145759,"higher"
"shadow",89,2360,259972,98101362,304.283062728432,"higher"
"sea",175,12250,259886,98091472,302.906103864821,"higher"
"renewal",64,835,259997,98102887,302.622372556476,"higher"
"core",97,3065,259964,98100657,300.81019395378,"higher"
"delegation",74,1417,259987,98102305,297.248018990315,"higher"
"pan",69,1130,259992,98102592,297.140779260615,"higher"
"gasp",48,303,260013,98103419,291.307425050079,"higher"
"mark",166,11525,259895,98092197,289.527613219901,"higher"
"dish",74,1501,259987,98102221,289.378614860349,"higher"
"resolution",100,3554,259961,98100168,289.031857387415,"higher"
"speck",35,64,260026,98103658,287.207006475777,"higher"
"veteran",60,762,260001,98102960,286.711583612263,"higher"
"hat-trick",47,301,260014,98103421,284.001335465579,"higher"
"splash",51,429,260010,98103293,282.644768287759,"higher"
"clash",67,1155,259994,98102567,282.156301196629,"higher"
"bill",174,13078,259887,98090644,281.340622192787,"higher"
"checklist",45,258,260016,98103464,280.974321578329,"higher"
"look",349,45972,259712,98057750,279.212580168293,"higher"
"weakening",48,354,260013,98103368,277.64199195984,"higher"
"conflict",116,5521,259945,98098201,275.738065111811,"higher"
"relic",39,141,260022,98103581,275.565827396936,"higher"
"transcript",44,257,260017,98103465,273.246394448954,"higher"
"sack",61,915,260000,98102807,272.628961603519,"higher"
"mile",88,2794,259973,98100928,272.136362015178,"higher"
"smell",94,3342,259967,98100380,271.625929879988,"higher"
"glint",39,162,260022,98103560,266.043817288298,"higher"
"sprig",29,28,260032,98103694,265.409908656133,"higher"
"course",354,48571,259707,98055151,264.722713755366,"higher"
"spoonful",33,68,260028,98103654,264.476150704905,"higher"
"radius",52,562,260009,98103160,264.062304616684,"higher"
"strand",52,562,260009,98103160,264.062304616684,"higher"
"plot",75,1891,259986,98101831,263.315907762927,"higher"
"continuum",46,361,260015,98103361,260.817224297713,"higher"
"contravention",40,200,260021,98103522,259.636481871738,"higher"
"scale",125,7123,259936,98096599,258.762062701442,"higher"
"frenzy",41,229,260020,98103493,257.940445103762,"higher"
"life",377,54530,259684,98049192,257.112165236059,"higher"
"loan",92,3465,259969,98100257,256.408370095274,"higher"
"volume",108,5203,259953,98098519,254.457047354858,"higher"
"horde",34,97,260027,98103625,254.117501597121,"higher"
"graph",58,915,260003,98102807,253.790900252089,"higher"
"fee",83,2692,259978,98101030,253.490257526168,"higher"
"photocopy",36,137,260025,98103585,251.13634092859,"higher"
"jar",50,562,260011,98103160,250.265909858239,"higher"
"fit",126,7676,259935,98096046,246.765038023349,"higher"
"shaft",54,773,260007,98102949,246.03117449058,"higher"
"wedge",43,334,260018,98103388,244.621777370141,"higher"
"connoisseur",32,83,260029,98103639,244.316337312665,"higher"
"margin",64,1368,259997,98102354,244.089748508568,"higher"
"travesty",30,60,260031,98103662,241.879253615567,"higher"
"party",300,39410,259761,98064312,241.046164163591,"higher"
"diagnosis",66,1548,259995,98102174,240.45522067646,"higher"
"corpus",52,719,260009,98103003,240.268271238691,"higher"
"haze",41,292,260020,98103430,239.778464563008,"higher"
"balance",130,8590,259931,98095132,237.188344886375,"higher"
"bevy",24,13,260037,98103709,237.002939401644,"higher"
"spell",73,2131,259988,98101591,236.825047598586,"higher"
"salary",69,1818,259992,98101904,236.704726683605,"higher"
"reappraisal",32,97,260029,98103625,235.859632811223,"higher"
"cry",81,2846,259980,98100876,235.764913574766,"higher"
"proliferation",50,665,260011,98103057,234.636129471743,"higher"
"colony",56,980,260005,98102742,234.269868520798,"higher"
"promise",87,3536,259974,98100186,230.758413583957,"higher"
"relaxation",56,1020,260005,98102702,230.122009163088,"higher"
"ring",113,6598,259948,98097124,229.298725745355,"higher"
"nest",61,1351,260000,98102371,228.661928444822,"higher"
"solution",112,6514,259949,98097208,228.005175693425,"higher"
"gallon",39,280,260022,98103442,227.506119215302,"higher"
"marker",47,580,260014,98103142,227.096492988234,"higher"
"risk",145,11280,259916,98092442,226.542614648407,"higher"
"hotbed",23,13,260038,98103709,226.01244795229,"higher"
"target",108,6075,259953,98097647,225.921653955946,"higher"
"division",128,8805,259933,98094917,225.153951815383,"higher"
"woman",204,21581,259857,98082141,224.243934158224,"higher"
"grain",65,1701,259996,98102021,223.788167365617,"higher"
"teaspoon",33,141,260028,98103581,223.462959728436,"higher"
"reconstruction",52,859,260009,98102863,223.094081787238,"higher"
"gap",81,3126,259980,98100596,222.247813089585,"higher"
"vestige",28,63,260033,98103659,220.387194968576,"higher"
"corollary",35,195,260026,98103527,220.3505666674,"higher"
"stroke",61,1458,260000,98102264,220.125884714307,"higher"
"saving",70,2164,259991,98101558,219.834429815738,"higher"
"consignment",35,203,260026,98103519,217.800360057627,"higher"
"posse",27,55,260034,98103667,216.891494945147,"higher"
"spark",42,438,260019,98103284,216.061832875931,"higher"
"donation",44,521,260017,98103201,215.977714548823,"higher"
"suburb",41,402,260020,98103320,215.60413729359,"higher"
"puff",36,238,260025,98103484,215.44179326771,"higher"
"master",106,6201,259955,98097521,214.756546479105,"higher"
"barometer",30,104,260031,98103618,214.168829427544,"higher"
"mountain",78,3018,259983,98100704,213.659428851672,"higher"
"profile",68,2107,259993,98101615,213.271474909994,"higher"
"concept",105,6130,259956,98097592,213.08825909747,"higher"
"tide",61,1588,260000,98102134,210.597564970052,"higher"
