"Verb","GoingP1","WillP1","GoingP2","WillP2","GoingP3","WillP3"
"enrich",0,1,0,2,0,1
"enslave",0,0,0,0,0,1
"ensue",0,8,0,6,0,7
"ensure",0,5,0,10,0,14
"entail",0,0,0,1,0,2
"entangle",0,0,0,1,0,0
"enter",4,29,4,22,4,19
"entertain",1,14,0,9,0,4
"entice",0,0,0,1,0,0
"entitle",0,13,0,5,0,2
"entomb",0,0,0,0,0,1
"entreat",0,3,0,0,0,0
"entrust",1,0,0,1,0,2
"enumerate",0,0,0,3,0,2
"envy",0,5,0,2,0,0
"equal",0,4,0,2,0,4
"equip",0,1,0,0,0,0
"equivocate",0,0,0,1,0,0
"eradicate",0,1,0,0,0,0
"erase",0,0,0,3,0,0
"erect",0,0,0,1,0,0
"escape",1,9,0,12,1,9
"eschew",0,0,0,0,0,1
"escort",0,0,0,1,0,0
"espouse",0,1,0,1,0,0
"essay",0,0,0,1,0,0
"establish",1,7,0,4,1,4
"esteem",0,6,0,7,0,0
"estimate",0,0,0,1,0,1
"evade",0,1,0,0,0,0
"evangelize",0,0,0,0,1,0
"evaporate",0,1,0,1,1,2
"even",0,1,0,3,0,0
"evidence",0,0,0,1,0,0
"evince",0,3,0,2,0,0
"evolve",0,0,0,2,0,1
"exact",0,1,0,1,0,2
"exalt",0,3,0,0,0,0
"examine",2,13,1,10,2,4
"exasperate",0,0,0,1,0,2
"exceed",0,5,0,18,0,4
"excel",0,1,0,0,0,1
"except",0,0,1,1,0,1
"exchange",0,5,0,20,1,3
"excite",0,12,0,17,1,7
"exclaim",0,0,0,9,0,4
"exclude",0,2,0,3,0,2
"excuse",0,90,0,66,0,36
"execute",3,10,1,5,0,1
"exemplify",0,0,0,1,0,1
"exempt",0,1,0,0,0,0
"exercise",0,0,0,4,0,4
"exert",0,15,0,12,0,4
"exhale",0,0,0,2,0,0
"exhaust",0,0,0,4,0,2
"exhibit",0,2,0,5,0,12
"exhort",0,1,0,0,0,0
"exist",0,4,0,19,0,13
"exonerate",0,0,0,1,0,1
"expand",0,1,0,1,0,1
"expatiate",0,2,0,0,0,1
"expect",0,37,0,12,0,10
"expedite",0,2,0,0,0,0
"expel",0,3,0,0,0,0
"expend",1,0,0,1,0,1
"experience",0,0,0,6,0,0
"experiment",0,0,0,0,0,1
"expiate",0,0,0,1,0,0
"expire",1,6,0,3,0,2
"explain",0,27,0,45,2,42
"explode",0,0,0,4,0,0
"explore",0,0,0,1,0,1
"export",0,1,0,0,0,0
"expose",0,19,2,6,0,1
"expostulate",0,1,0,0,0,0
"express",5,4,1,13,0,5
"extend",1,9,0,15,1,5
"extenuate",0,2,0,0,0,0
"exterminate",0,1,0,1,0,0
"extinguish",0,0,0,6,0,2
"extirpate",0,0,0,1,0,0
"extort",0,2,0,1,0,0
"extract",0,0,0,4,0,1
"extricate",0,1,0,0,0,0
"face",1,2,0,2,0,3
"facilitate",0,5,0,0,0,3
"fade",0,2,0,6,0,3
"fag",0,0,0,3,1,0
"fail",0,28,0,61,0,44
"faint",0,4,6,0,2,3
"fall",1,52,1,81,7,44
"falsify",0,0,0,1,0,0
"famish",0,0,0,1,0,0
"fan",0,1,0,0,0,0
"fancy",0,4,0,4,0,2
"fare",0,1,0,1,0,1
"fascinate",0,0,0,0,0,1
"fashion",0,1,0,0,0,1
"fast",0,1,0,0,0,0
"fasten",0,1,0,1,0,2
"fat",0,0,0,2,0,0
"father",0,0,0,0,0,1
"fathom",0,1,0,0,0,0
"fatigue",0,1,0,3,1,1
"fatten",0,1,0,2,0,0
"favor",0,1,0,1,0,0
"favour",0,21,0,11,1,4
"fawn",0,1,0,0,0,0
"fear",0,4,0,11,0,3
"feare",0,0,0,0,0,1
"feast",0,1,0,0,0,0
"feed",0,8,2,5,0,5
"feel",0,30,0,66,0,57
"feign",0,5,0,3,0,0
"ferment",0,5,0,1,0,1
"ferret",0,2,0,0,0,0
"fetch",2,14,1,13,2,11
"fetter",0,0,0,1,0,0
"fight",14,19,7,22,1,17
"figure",0,3,1,0,0,2
"file",0,0,0,1,0,0
"fill",0,23,0,8,2,10
"filter",0,0,0,0,0,1
"find",0,440,0,431,7,511
"finger",0,1,0,0,0,0
"finish",0,8,1,18,1,13
"fire",1,1,0,4,3,1
"fish",0,0,0,1,0,1
"fit",1,10,0,9,0,12
"fix",0,14,0,10,0,4
"flame",1,1,0,0,0,0
"flatter",0,7,0,1,0,0
"flaunt",0,1,0,0,0,0
"flay",0,0,0,1,0,2
"fling",1,0,1,8,0,6
"flit",0,1,0,1,0,0
"float",0,1,0,3,0,4
"flock",0,0,0,1,0,0
"flog",0,0,1,2,0,0
"flood",0,0,0,0,0,2
"floor",0,0,0,0,1,1
"flounce",0,1,0,0,0,0
"flourish",0,0,0,3,0,4
"flout",0,0,0,0,0,1
"flow",0,6,0,13,0,3
"flower",0,0,0,0,1,0
"fluctuate",0,1,0,1,0,0
"flutter",0,0,0,2,0,0
"fly",1,31,1,30,0,16
"fold",0,1,0,0,1,0
"follow",6,85,3,103,3,84
"forbear",0,9,0,7,0,1
"forbid",1,3,0,1,0,4
"force",0,16,1,14,0,15
"forego",0,2,0,3,0,1
"foresee",0,2,0,0,0,1
"foreshadow",0,0,0,1,0,0
"forestall",0,0,0,1,0,1
"forfeit",0,7,0,4,0,1
"forget",1,24,0,73,2,45
"forgi'e",0,0,0,0,0,1
"forgive",0,104,1,63,0,59
"forgo",0,1,0,1,0,0
"fork",0,0,0,0,0,1
"form",0,11,0,38,0,24
"formulate",0,0,0,0,0,1
"forsake",0,8,0,4,0,3
"forswear",0,0,0,1,0,0
"fortify",1,0,0,0,0,0
"forward",0,6,0,6,0,2
"found",0,0,0,1,1,1
"founder",0,1,0,1,0,0
"frank",0,0,0,1,0,0
"free",1,9,0,5,0,1
"freeze",0,1,0,2,0,1
"freight",0,1,0,0,0,0
"frequent",0,1,0,0,0,0
"fresh",0,0,0,0,0,1
"freshen",0,0,0,0,0,1
"fret",0,0,1,2,0,2
"frighten",0,3,0,6,0,3
"frown",0,2,0,0,0,0
"fructify",0,0,0,0,0,1
"frustrate",0,1,0,1,0,0
"fry",0,0,0,1,0,0
"fuddle",0,0,0,0,1,0
"fudge",0,0,0,1,0,0
"fulfil",1,5,0,3,0,6
"fulfill",0,1,0,0,0,0
"furnish",1,20,0,20,0,7
"further",0,0,0,2,0,1
"fuzz",0,0,0,0,0,1
"gage",0,0,0,1,0,0
"gain",0,15,0,26,0,13
"gainsay",0,1,0,4,0,2
"gallop",0,1,0,4,0,2
"gammon",0,0,0,1,0,0
"gang",0,0,0,1,0,0
"gasp",0,0,1,0,0,0
"gather",0,6,1,10,2,7
"gaze",0,0,0,3,0,0
"gee",0,1,0,0,0,0
"generate",0,0,0,2,0,5
"get",3,84,3,140,33,221
"gie",0,0,0,1,1,1
"gild",0,0,0,0,0,1
"gird",0,0,0,0,0,1
"give",20,568,16,456,42,418
"gladden",0,0,0,3,0,1
"glance",0,0,0,0,0,6
"glare",0,0,0,1,0,0
"glide",0,0,0,1,0,1
"glimmer",0,0,0,0,0,1
"glitter",0,0,0,1,0,0
"gloat",0,0,0,1,0,1
"glory",0,2,0,1,0,1
"glow",0,2,0,0,0,1
"glut",0,0,0,1,0,0
"gnash",0,0,0,0,0,1
"gnaw",0,0,0,1,0,0
"go",1,382,3,450,1,528
"gossip",0,0,0,0,0,3
"govern",0,4,0,6,0,1
"grace",0,3,0,4,0,0
"grant",0,23,1,24,0,10
"grapple",0,1,0,0,0,0
"grasp",0,0,0,1,0,0
"grass",0,0,0,0,1,0
"grate",0,1,0,0,0,0
"gratify",0,4,0,6,0,2
"gravitate",0,0,0,0,0,3
"grease",0,0,0,0,0,2
"greet",0,0,0,1,0,2
"grieve",0,10,1,4,0,5
"grind",0,2,0,0,0,2
"groan",0,0,0,1,0,0
"ground",0,1,0,0,0,0
"group",0,0,0,0,0,1
"grow",0,48,0,42,1,52
"grudge",0,1,0,4,0,0
"grumble",0,0,0,2,1,0
"guarantee",0,0,0,0,0,4
"guard",0,5,0,7,0,5
"guess",0,23,0,13,0,8
"guide",0,2,0,10,0,8
"gush",0,0,0,1,0,3
"habituate",0,1,0,0,0,0
"hack",0,0,0,1,0,0
"hail",0,0,0,1,0,2
"half-dock",0,0,0,1,0,0
"halloo",0,1,0,0,0,0
"hallow",0,1,0,0,0,0
"hammer",0,0,0,1,1,0
"hamper",0,0,0,0,0,1
"hand",0,0,0,0,0,5
"handle",0,2,0,0,0,0
"hang",1,13,3,12,3,6
"happen",1,49,6,49,32,57
"harangue",1,0,0,0,0,1
"harass",0,0,0,1,0,1
"harbour",0,1,0,1,0,0
"harden",0,2,0,1,0,1
"harm",0,0,0,7,0,3
"harmonise",0,0,0,0,0,1
"harrass",0,1,0,0,0,0
"harrow",0,0,0,0,0,1
"hash",0,0,0,1,0,0
"haste",0,1,0,0,0,0
"hasten",0,8,0,10,0,8
"hate",0,11,0,8,0,7
"haul",0,0,0,2,0,0
"haunt",0,2,0,6,0,2
"hav",0,0,0,1,0,0
"have",14,914,22,979,61,1125
"hazard",0,6,1,1,0,0
"head",0,1,0,1,0,0
"heal",0,2,0,5,0,2
"heap",0,3,0,0,0,0
"hear",0,89,2,117,2,87
"hearken",0,4,0,2,0,2
"heat",0,0,0,1,0,2
"heave",0,0,0,1,0,1
"heed",0,0,0,1,0,1
"heighten",0,4,0,1,0,0
"help",0,36,1,40,9,101
"henpeck",0,0,0,0,1,0
"hesitate",0,5,0,7,0,10
"hide",0,7,0,11,0,3
"hie",0,0,0,1,0,0
"higgle",0,0,0,1,0,0
"hinder",0,11,0,3,1,4
"hinge",0,0,0,0,0,1
"hint",0,1,0,2,0,0
"hire",0,2,0,1,0,2
"hit",1,2,0,2,1,6
"hobble",0,2,0,0,0,0
"hocus",0,1,0,0,0,0
"hoist",1,0,0,1,0,0
"hold",0,60,0,72,1,56
"honour",0,9,0,9,0,8
"hook",0,0,0,0,0,1
"hoot",0,3,0,0,0,0
"hope",0,23,0,19,1,10
"horn",0,0,0,0,0,1
"house",0,0,0,0,0,3
"hover",0,0,0,1,0,1
"howl",0,1,0,0,0,0
"hug",0,1,0,0,0,0
"humble",0,1,0,2,0,0
"humiliate",0,0,0,0,0,1
"humour",0,1,0,0,0,1
"hunt",0,4,2,3,1,11
"hurl",0,1,0,0,0,0
"hurry",0,5,0,3,2,5
"hurt",0,9,2,14,0,23
"husband",0,0,0,1,0,0
"hush",0,0,0,1,0,0
"ice",0,0,0,1,0,0
"identify",0,0,0,0,0,1
"idle",0,0,0,0,1,0
"ignore",0,0,0,1,0,2
"illuminate",0,1,0,0,0,1
"illustrate",0,11,0,4,0,9
"imagine",0,25,1,14,1,6
"imbibe",0,2,0,0,0,0
"imbitter",0,0,0,1,0,0
"imbue",0,0,0,1,0,0
"imitate",0,3,0,4,1,0
"immortalize",0,2,0,0,0,0
"impair",0,2,0,0,0,1
"impannel",0,1,0,0,0,0
"impart",0,0,0,4,0,2
"impeach",0,2,0,0,0,0
"impede",0,0,0,2,0,2
"impel",0,1,0,0,0,0
"imperil",0,0,0,0,0,1
"impinge",0,0,0,0,0,1
"implore",0,2,1,3,0,0
"imply",0,0,0,0,0,2
"import",0,0,0,2,0,0
"importune",0,1,0,0,0,0
"impose",0,4,0,1,0,0
"impoverish",0,3,0,2,0,0
"impregnate",0,0,0,0,0,1
"impress",0,2,0,1,0,6
"imprint",0,1,0,1,0,0
"improve",0,8,0,15,2,9
"impugn",0,1,0,0,0,0
"impute",0,10,0,2,0,2
"inbreathe",0,0,0,1,0,0
"incense",0,0,0,1,0,0
"incite",0,3,0,0,0,0
"incline",0,8,0,1,0,3
"inclose",0,1,0,2,0,1
"include",0,3,0,7,0,6
"incommode",0,2,0,0,0,1
"inconvenience",0,0,0,1,0,0
"increase",0,46,0,28,0,19
"inculcate",0,1,0,0,0,1
"incur",0,3,0,4,0,5
"indicate",0,1,0,1,0,7
"indite",0,1,0,0,0,0
"induce",0,17,0,23,0,9
"indulge",0,27,0,10,0,3
"infect",0,1,0,0,0,0
"infer",0,1,0,0,0,1
"inflame",0,2,0,0,0,0
"inflict",0,1,0,3,0,7
"influence",0,5,0,4,0,2
"inform",0,37,0,14,0,10
"ingratiate",0,1,0,0,0,0
"inhabit",0,0,0,2,0,0
"inhale",0,0,0,0,0,1
"inherit",0,1,0,0,0,1
"initiate",0,1,0,0,0,3
"injure",0,9,0,2,0,4
"inquire",1,10,1,7,0,3
"inscribe",0,0,0,1,0,0
"insert",0,0,0,12,0,1
"insinuate",0,0,0,2,0,0
"insist",0,18,0,15,0,13
"inspect",0,1,1,0,0,0
"inspire",0,7,0,3,0,3
"instal",0,0,0,0,0,1
"instance",0,1,0,0,0,0
"instil",0,0,0,1,0,0
"institute",0,0,0,1,0,0
"instruct",0,9,0,5,0,4
"insult",0,2,0,4,2,0
"insure",0,1,0,4,0,0
"intensify",0,0,0,0,0,3
"intercede",0,3,0,1,0,0
"interest",0,2,0,5,0,15
"interfere",0,6,0,11,0,11
"interpose",0,4,1,3,0,0
"interpret",0,3,0,2,0,1
"interrogate",0,0,0,1,0,0
"interrupt",3,5,0,2,0,3
"intersect",0,0,0,1,0,1
"intervene",0,1,0,2,0,2
"intimate",0,0,0,1,0,0
"intimidate",0,4,0,0,0,0
"intitle",0,1,0,0,0,0
"intoxicate",0,2,0,0,0,0
"intreat",0,3,0,0,0,0
"intrigue",0,0,0,0,0,1
"introduce",3,17,2,8,2,7
"intrude",0,1,1,3,0,1
"invade",1,3,0,1,0,1
"inveigle",0,0,0,1,0,0
"invent",0,2,0,1,0,4
"invest",0,0,0,1,0,2
"investigate",0,0,0,0,0,2
"invite",0,8,1,4,2,5
"invoke",0,0,0,1,0,1
"involve",0,2,0,4,0,9
"irradiate",0,1,0,0,0,0
"irritate",0,0,0,1,0,2
"issue",1,1,0,2,0,4
"jar",0,0,0,1,0,0
"jelly",0,6,0,0,0,0
"jilt",0,0,0,0,2,0
"jingle",0,0,0,1,0,0
"jog",0,0,0,0,0,1
"join",2,23,4,29,2,21
"joke",0,1,0,0,0,0
"jolly",0,0,0,0,0,1
"jolt",0,0,0,0,0,1
"jostle",0,0,0,1,0,0
"jot",0,0,0,1,0,0
"journey",0,0,0,1,0,0
"joy",0,1,0,1,0,0
"judge",0,43,0,21,1,11
"jump",0,0,0,1,0,2
"justify",0,35,0,9,0,11
"keck",0,1,0,0,0,0
"keek",0,0,0,1,0,0
"keep",3,137,4,110,11,134
"ken",0,0,0,1,0,2
"kick",0,1,0,3,2,3
"kidnap",0,0,1,0,0,0
"kill",1,18,2,18,4,41
"kindle",0,1,0,0,0,0
"kiss",0,2,1,6,3,7
"kneel",0,7,1,3,0,4
"knit",0,1,0,1,0,0
"knock",2,3,0,1,2,8
"know",0,76,0,126,0,142
"labour",0,3,0,1,0,2
"lace",1,0,0,0,0,0
"lacerate",0,0,0,1,0,0
"lack",0,0,0,1,0,1
"lag",0,0,0,1,0,0
"lament",0,2,0,6,1,2
"land",0,1,0,3,0,3
"languish",0,2,0,2,0,0
"lard",0,1,0,0,0,0
"lash",1,0,0,0,0,0
"last",0,32,0,32,4,35
"laud",0,0,0,1,0,0
"laugh",0,32,1,22,1,22
"launch",0,0,0,0,0,1
"lay",4,60,3,37,1,22
"lead",0,57,1,54,5,46
"leaf",0,0,0,0,0,1
"leak",0,0,0,0,0,1
"lean",0,0,0,4,0,1
"leap",0,1,0,0,0,3
"learn",0,19,1,33,2,49
"leave",9,158,29,157,42,140
"leaven",0,0,0,1,0,1
"lecture",0,0,0,1,3,1
"legislate",0,0,0,1,0,0
"legitimate",0,1,0,0,0,0
"lend",0,12,2,20,1,16
"lengthen",0,1,0,1,0,0
"lessen",0,13,0,3,0,2
"let",3,175,4,142,17,156
"level",0,0,0,1,0,0
"levy",0,1,0,0,0,0
"libel",0,0,0,2,0,0
"lick",0,0,0,1,0,2
"lie",1,24,3,19,1,26
"lift",0,2,0,5,3,3
"light",1,0,0,3,0,2
"lighten",0,2,0,0,0,1
"like",0,33,0,61,4,44
"limit",0,1,0,0,0,1
"linger",0,0,0,4,0,3
"link",0,0,0,1,1,2
"list",0,2,0,0,0,0
"listen",0,14,1,31,3,25
"litigate",0,2,0,0,0,0
"live",1,61,5,80,27,67
"load",1,2,0,1,0,0
"loathe",0,0,0,1,0,0
"loave",0,0,0,1,0,0
"lock",0,6,0,3,1,1
"lodge",0,2,0,1,0,6
"long",0,1,0,0,0,0
"look",2,61,4,83,17,101
"loose",0,0,0,2,0,0
"loosen",0,0,0,2,0,1
"lop",0,1,0,0,0,0
"lord",0,1,0,0,0,0
"lose",4,47,3,42,7,32
"lounge",0,0,0,1,0,1
"love",0,44,0,45,1,29
"lower",0,1,0,3,0,3
"lown",0,0,0,0,0,1
"lull",0,0,0,1,0,0
"lumber",0,0,0,0,1,0
"lunch",0,0,0,0,2,2
"lure",0,0,0,1,0,0
"lurk",0,1,0,0,0,1
"madden",0,0,0,0,0,1
"magnify",0,1,0,0,0,1
"maim",0,0,0,1,0,0
"maintain",0,19,0,17,1,8
"make",31,658,23,481,56,440
"man",0,1,0,1,0,1
"manage",0,2,0,7,1,7
"mangle",0,2,0,0,0,0
"manifest",0,4,0,6,0,4
"manufacture",0,0,0,0,0,1
"mar",0,0,0,2,0,3
"march",0,9,0,18,0,2
"mark",0,3,0,3,1,8
"market",0,0,1,0,0,0
"marry",27,35,23,46,47,56
"marvel",0,1,0,0,0,1
"mask",0,0,0,0,0,2
"massacre",0,0,0,1,0,0
"master",0,0,0,0,0,1
"match",0,1,0,0,0,1
"matter",0,0,0,2,0,12
"mature",0,0,0,0,0,3
"mean",0,1,0,2,0,20
"measure",0,1,0,2,0,4
"meddle",0,1,0,0,0,0
"meditate",0,0,0,1,0,0
"meet",2,61,6,70,14,52
"meke",0,1,0,0,0,0
"melt",0,4,0,4,0,3
"menace",0,0,0,1,0,0
"mend",0,8,0,6,1,5
"mention",7,35,4,47,0,19
"merit",0,3,0,2,0,0
"methodize",0,1,0,0,0,0
"middle",0,1,0,0,0,0
"migrate",0,0,0,0,0,1
"mimic",0,1,0,0,0,0
"mince",0,0,0,1,1,0
"mind",0,6,0,12,0,10
"mine",0,2,0,0,0,0
"mingle",0,5,0,1,0,1
"minister",0,1,0,2,0,0
"misbecome",0,0,0,1,0,0
"miscall",0,1,0,0,0,0
"miscarry",0,1,0,0,0,0
"misconstrue",0,0,0,1,0,0
"mislead",0,3,0,2,0,0
"misread",0,0,0,0,0,1
"miss",0,6,0,10,0,14
"mistake",0,5,0,4,0,3
"mistrust",0,1,0,0,0,0
"misunderstand",0,0,0,1,0,0
"misuse",0,0,0,1,0,0
"mitigate",0,0,0,1,0,0
"mix",0,9,0,3,0,2
"moan",0,0,0,1,0,0
"mobilise",0,0,0,0,0,1
"mock",0,1,0,2,0,0
"model",0,0,0,1,0,0
"moderate",0,1,0,1,0,0
"modify",0,0,0,2,0,3
"moisten",0,1,0,1,0,1
"mold",0,0,0,0,0,2
"molest",1,6,0,0,0,2
"mope",0,0,0,0,0,1
"moralize",1,0,0,0,0,0
"mortgage",0,2,0,0,0,0
"mortify",0,2,0,1,0,0
"mother",0,0,0,2,0,1
"moulder",0,0,0,2,0,0
"mount",2,3,0,4,1,2
"mourn",0,2,0,0,0,4
"move",0,13,1,36,0,15
"mow",0,0,0,1,0,0
"muddle",0,0,0,0,0,1
"multiply",0,2,0,3,0,0
"murder",0,0,0,3,1,3
"murmur",0,4,0,0,0,0
"murther",1,0,0,1,0,0
"muster",0,0,0,1,0,0
"mutiny",0,2,0,0,0,0
"mutter",0,0,0,0,0,1
"mystify",0,0,0,0,0,1
"nail",0,0,0,1,0,0
"name",1,6,0,7,0,5
"narrate",0,0,0,0,0,7
"narrow",0,0,0,0,0,1
"necessitate",0,0,0,0,0,5
"need",0,8,0,13,0,35
"neglect",0,10,0,7,0,2
"neutralise",0,0,0,0,0,1
"nibble",0,0,0,0,0,1
"nick",0,1,0,0,0,0
"notch",0,0,0,1,0,0
"note",0,0,0,5,2,5
"notice",0,0,0,10,0,25
"now-and-then",0,1,0,0,0,0
"number",0,0,0,1,0,1
"nurse",0,0,2,2,0,2
"nurture",0,0,1,0,0,0
"o'erflow",0,1,0,0,0,0
"o'erwhelm",0,0,0,0,0,1
"obey",2,39,2,23,0,13
"object",0,3,0,9,0,8
"oblige",0,87,0,24,0,14
"obliterate",0,0,0,0,0,1
"obscure",0,0,0,0,0,1
"observe",4,42,5,37,1,24
"obstruct",0,6,0,0,0,1
"obtain",0,11,0,31,0,6
"obtrude",0,2,0,1,0,0
"obviate",0,1,0,1,0,1
"occasion",0,24,0,6,0,3
"occupy",0,5,0,11,0,17
"occur",1,13,0,30,0,25
"offend",0,12,0,9,0,4
"offer",1,25,0,12,1,16
"offset",0,0,0,1,0,0
"ogle",0,1,0,0,0,0
"omit",0,7,0,4,0,1
"open",7,28,4,30,3,18
"operate",0,12,0,8,0,4
"opine",0,0,0,0,0,1
"oppose",0,9,0,8,0,3
"oppress",0,5,0,0,0,0
"oppugn",0,0,0,1,0,0
"order",0,20,0,14,1,3
"originate",0,0,0,1,0,0
"oscillate",0,0,0,0,0,1
"out-do",0,1,0,0,0,0
"out-herod",0,0,0,1,0,0
"outdo",0,0,0,0,0,2
"outgrow",0,0,0,0,0,2
"outlast",0,2,0,3,0,0
"outlive",0,1,0,3,0,1
"outnumber",0,0,0,0,0,1
"outrage",0,0,0,2,0,0
"outsail",0,0,0,0,0,1
"outstrip",0,0,0,1,0,0
"outweigh",0,2,0,1,0,0
"outwrite",0,0,0,1,0,0
"over-leap",1,0,0,0,0,0
"over-pay",0,1,0,0,0,0
"over-reach",0,1,0,0,0,0
"overbalance",0,1,0,1,0,0
"overbear",0,0,0,0,0,1
"overcome",0,6,0,7,0,3
"overflow",0,4,0,1,0,1
"overhaul",0,0,0,0,0,1
"overhear",0,0,0,1,0,1
"overload",0,0,0,1,0,0
"overlook",0,2,0,2,0,5
"overpass",0,0,0,1,0,0
"overpower",0,1,0,3,0,0
"override",0,0,0,0,0,1
"oversee",0,0,0,1,0,0
"overshoot",0,0,0,1,0,0
"oversleep",0,0,0,0,0,1
"overspread",0,2,0,0,0,0
"overtake",0,3,0,3,0,6
"overthrow",0,0,0,1,0,0
"overturn",0,0,0,1,0,1
"overweigh",0,0,0,1,0,0
"overwhelm",0,1,0,3,0,1
"owe",0,5,0,5,0,2
"own",1,60,0,17,0,11
"pacify",0,1,0,0,0,0
"pack",0,3,1,1,0,8
"page",0,0,0,1,0,3
"pain",0,3,0,2,0,3
"paint",0,3,0,5,3,2
"pair",0,0,0,0,0,1
"pal",0,0,0,0,0,1
"pall",0,1,0,1,0,0
"palliate",0,3,0,0,0,0
"pander",0,0,0,0,0,1
"parade",0,0,0,1,0,0
"paralyse",0,0,0,1,0,0
"paraphrase",0,0,0,1,0,0
"pardon",0,72,0,29,0,24
"parry",0,0,0,1,0,0
"part",0,20,0,26,0,8
"partake",0,3,0,5,0,3
"participate",0,0,0,2,0,0
"particularise",0,0,0,1,0,0
"pass",2,28,0,65,3,52
"past",0,0,0,1,0,0
"paste",0,1,0,0,0,0
"patch",0,0,1,0,0,0
"patrol",0,0,0,0,0,1
"patronise",0,0,0,0,0,1
"pause",0,0,0,8,0,3
"pave",0,1,0,0,0,1
"pawn",0,5,0,0,0,1
"pay",6,55,8,83,8,68
"peach",0,0,0,0,1,0
"peck",0,0,0,0,0,1
"peel",0,1,0,0,0,0
"peep",0,0,0,1,0,0
"peg",0,0,0,0,0,1
"penetrate",0,1,0,1,0,7
"people",0,1,0,3,0,1
"perceed",0,0,0,0,0,1
"perceive",0,46,0,60,0,25
"perch",0,0,0,0,0,1
"perform",1,21,2,10,1,4
"perfume",0,0,0,0,0,1
"perish",0,6,0,14,0,12
"permit",0,131,0,62,1,47
"perpetuate",0,1,0,0,0,0
"perplex",0,1,0,0,0,1
"persecute",0,0,0,0,0,1
"persevere",0,4,0,1,0,3
"persist",0,5,0,7,0,9
"personate",0,0,0,1,0,0
"persuade",1,6,0,12,1,8
"peruse",0,4,0,2,0,0
"pervert",0,1,0,1,0,0
"pester",0,0,0,0,0,1
"petition",1,0,0,1,0,0
"philosophize",0,2,0,0,0,0
"physick",0,0,0,1,0,0
"pick",0,5,1,6,5,5
"picture",0,1,0,0,0,2
"piddle",0,0,0,1,0,0
"piece",0,1,0,0,0,0
"pierce",0,1,0,0,0,1
"pile",0,0,0,1,0,0
"pin",0,1,0,0,0,1
"pinch",0,1,0,2,0,0
"pine",0,5,0,0,0,0
"piss",0,1,0,0,0,0
"pistol",0,1,0,0,0,0
"pitch",0,0,0,0,1,2
"pity",0,14,0,4,0,3
"place",2,12,2,20,1,8
"plague",1,3,0,2,1,1
"plan",0,0,0,1,0,0
"plant",0,2,0,2,0,1
"play",2,8,5,27,17,25
"plead",0,11,1,8,0,1
"please",0,54,0,49,0,36
"pledge",0,1,0,8,0,3
"pluck",0,0,0,3,0,2
"plunder",0,2,0,0,0,2
"plunge",0,3,1,4,1,4
"pocket",0,0,0,0,0,2
"point",0,8,0,9,0,6
"poison",0,0,0,1,0,0
"poke",0,0,0,0,1,1
"pollute",0,0,0,0,0,1
"pop",0,1,0,0,0,2
"pore",1,0,0,0,0,1
"possess",0,7,0,13,0,3
"post",0,1,0,1,0,2
"postpone",0,8,0,3,0,4
"pouch",0,0,0,1,0,0
"pounce",0,0,0,0,0,1
"pour",1,4,0,8,1,3
"pouse",0,0,1,0,0,0
"practice",0,0,0,1,0,1
"practise",0,3,0,3,0,2
"praise",0,3,0,6,0,4
"prate",0,1,0,0,0,0
"prattle",0,0,0,1,0,0
"pray",0,15,0,21,0,13
"preach",0,1,0,5,1,2
"precede",0,1,0,1,0,1
"precipitate",0,2,0,0,0,1
"preclude",0,2,0,2,0,1
"predominate",0,2,0,1,0,0
"prefer",0,6,0,12,0,7
"prefix",0,1,0,0,0,1
"prejudge",0,0,0,0,0,1
"prejudice",0,1,0,0,0,0
"premise",0,2,0,0,0,0
"prepare",1,7,1,9,1,2
"preponderate",0,3,0,1,0,0
"prescribe",0,5,0,0,0,0
"present",1,15,1,11,2,15
"preserve",0,20,1,13,0,7
"preside",0,0,0,0,0,1
"press",0,9,1,10,4,9
"presume",0,23,1,12,0,4
"pretend",0,28,1,24,1,9
"prevail",0,30,1,16,0,5
"prevaricate",0,1,0,0,0,0
"prevent",0,43,0,38,0,25
"prey",0,1,0,2,0,0
"prick",0,0,0,1,0,1
"print",0,1,1,1,1,1
"prize",0,1,0,1,0,0
"probe",0,1,0,1,0,0
"proceed",0,51,0,46,0,16
"proclaim",2,1,0,6,0,3
"procure",0,23,0,12,0,0
"produce",1,91,1,73,0,68
"profess",0,0,0,0,0,2
"profit",0,4,0,13,1,2
"progress",0,0,0,0,0,1
"project",0,1,0,0,0,0
"prolong",0,4,0,2,0,1
"promenade",0,0,0,0,0,1
"promise",0,26,0,27,0,16
"promote",0,12,0,3,0,5
"prompt",0,6,0,2,0,1
"pronounce",2,4,1,5,2,6
"propagate",0,1,0,1,0,0
"prophesy",0,0,0,0,0,1
"proportion",0,1,0,0,0,0
"propose",3,9,6,5,4,2
"propound",0,0,0,0,1,0
"proscribe",0,0,0,1,0,0
"prosecute",0,9,0,2,2,2
"prosper",0,3,0,6,0,3
"prostrate",1,0,0,0,0,0
"protect",0,19,0,20,0,10
"protest",0,0,0,2,0,1
"protract",0,1,0,0,0,1
"prove",0,73,3,91,1,47
"provide",0,11,0,10,1,9
"provoke",0,9,0,3,0,2
"pry",0,1,0,1,0,0
"publish",1,2,1,14,3,7
"puff",0,0,0,0,0,1
"pull",0,3,0,4,2,6
"pump",1,0,0,0,0,0
"punch",0,0,0,0,1,1
