"Word","Electric","Electrical","c","d","GStat","Association"
"failure",0,2,2832,2027,3.49595354260559,"electrical"
"filter",0,2,2832,2027,3.49595354260559,"electrical"
"input",0,2,2832,2027,3.49595354260559,"electrical"
"instability",0,2,2832,2027,3.49595354260559,"electrical"
"insulator",0,2,2832,2027,3.49595354260559,"electrical"
"isolation",0,2,2832,2027,3.49595354260559,"electrical"
"know-how",0,2,2832,2027,3.49595354260559,"electrical"
"manufacturing",0,2,2832,2027,3.49595354260559,"electrical"
"means",0,2,2832,2027,3.49595354260559,"electrical"
"mechanism",0,2,2832,2027,3.49595354260559,"electrical"
"nerve",0,2,2832,2027,3.49595354260559,"electrical"
"place",0,2,2832,2027,3.49595354260559,"electrical"
"regulation",0,2,2832,2027,3.49595354260559,"electrical"
"safety",0,2,2832,2027,3.49595354260559,"electrical"
"science",0,2,2832,2027,3.49595354260559,"electrical"
"sub-station",0,2,2832,2027,3.49595354260559,"electrical"
"substation",0,2,2832,2027,3.49595354260559,"electrical"
"supervisor",0,2,2832,2027,3.49595354260559,"electrical"
"surge",0,2,2832,2027,3.49595354260559,"electrical"
"tool",0,2,2832,2027,3.49595354260559,"electrical"
"tracing",0,2,2832,2027,3.49595354260559,"electrical"
"voltage",0,2,2832,2027,3.49595354260559,"electrical"
"wave",0,2,2832,2027,3.49595354260559,"electrical"
"distribution",1,4,2831,2025,3.06920596184332,"electrical"
"test",1,4,2831,2025,3.06920596184332,"electrical"
"worker",1,4,2831,2025,3.06920596184332,"electrical"
"generator",4,7,2828,2022,2.13822386513393,"electrical"
"wire",7,10,2825,2019,2.01002747265518,"electrical"
"gear",1,3,2831,2026,1.82554616309592,"electrical"
"rhythm",2,4,2830,2025,1.51437760166917,"electrical"
"access",0,1,2832,2028,1.7476894359539,"electrical"
"accident",0,1,2832,2028,1.7476894359539,"electrical"
"aid",0,1,2832,2028,1.7476894359539,"electrical"
"apprenticeship",0,1,2832,2028,1.7476894359539,"electrical"
"arrangement",0,1,2832,2028,1.7476894359539,"electrical"
"assembly",0,1,2832,2028,1.7476894359539,"electrical"
"association",0,1,2832,2028,1.7476894359539,"electrical"
"authority",0,1,2832,2028,1.7476894359539,"electrical"
"barrier",0,1,2832,2028,1.7476894359539,"electrical"
"baseline",0,1,2832,2028,1.7476894359539,"electrical"
"bee",0,1,2832,2028,1.7476894359539,"electrical"
"benefit",0,1,2832,2028,1.7476894359539,"electrical"
"bias",0,1,2832,2028,1.7476894359539,"electrical"
"bit",0,1,2832,2028,1.7476894359539,"electrical"
"body",0,1,2832,2028,1.7476894359539,"electrical"
"bond",0,1,2832,2028,1.7476894359539,"electrical"
"bonding",0,1,2832,2028,1.7476894359539,"electrical"
"brain",0,1,2832,2028,1.7476894359539,"electrical"
"bull",0,1,2832,2028,1.7476894359539,"electrical"
"burst",0,1,2832,2028,1.7476894359539,"electrical"
"can-opener",0,1,2832,2028,1.7476894359539,"electrical"
"capability",0,1,2832,2028,1.7476894359539,"electrical"
"capacitor",0,1,2832,2028,1.7476894359539,"electrical"
"chatter",0,1,2832,2028,1.7476894359539,"electrical"
"check",0,1,2832,2028,1.7476894359539,"electrical"
"child",0,1,2832,2028,1.7476894359539,"electrical"
"circuitry",0,1,2832,2028,1.7476894359539,"electrical"
"communication",0,1,2832,2028,1.7476894359539,"electrical"
"compound",0,1,2832,2028,1.7476894359539,"electrical"
"concern",0,1,2832,2028,1.7476894359539,"electrical"
"consequence",0,1,2832,2028,1.7476894359539,"electrical"
"consumption",0,1,2832,2028,1.7476894359539,"electrical"
"contract",0,1,2832,2028,1.7476894359539,"electrical"
"copy",0,1,2832,2028,1.7476894359539,"electrical"
"coupling",0,1,2832,2028,1.7476894359539,"electrical"
"crackle",0,1,2832,2028,1.7476894359539,"electrical"
"craftman",0,1,2832,2028,1.7476894359539,"electrical"
"damage",0,1,2832,2028,1.7476894359539,"electrical"
"deficiency",0,1,2832,2028,1.7476894359539,"electrical"
"disaster",0,1,2832,2028,1.7476894359539,"electrical"
"disease",0,1,2832,2028,1.7476894359539,"electrical"
"disk",0,1,2832,2028,1.7476894359539,"electrical"
"disruptor",0,1,2832,2028,1.7476894359539,"electrical"
"earthing",0,1,2832,2028,1.7476894359539,"electrical"
"emission",0,1,2832,2028,1.7476894359539,"electrical"
"end",0,1,2832,2028,1.7476894359539,"electrical"
"enthusiast",0,1,2832,2028,1.7476894359539,"electrical"
"environment",0,1,2832,2028,1.7476894359539,"electrical"
"equation",0,1,2832,2028,1.7476894359539,"electrical"
"equipoment",0,1,2832,2028,1.7476894359539,"electrical"
"examination",0,1,2832,2028,1.7476894359539,"electrical"
"excitability",0,1,2832,2028,1.7476894359539,"electrical"
"expansion",0,1,2832,2028,1.7476894359539,"electrical"
"extension",0,1,2832,2028,1.7476894359539,"electrical"
"fact",0,1,2832,2028,1.7476894359539,"electrical"
"feed",0,1,2832,2028,1.7476894359539,"electrical"
"flap",0,1,2832,2028,1.7476894359539,"electrical"
"form",0,1,2832,2028,1.7476894359539,"electrical"
"function",0,1,2832,2028,1.7476894359539,"electrical"
"fuse",0,1,2832,2028,1.7476894359539,"electrical"
"gas",0,1,2832,2028,1.7476894359539,"electrical"
"generation",0,1,2832,2028,1.7476894359539,"electrical"
"goody",0,1,2832,2028,1.7476894359539,"electrical"
"handbook",0,1,2832,2028,1.7476894359539,"electrical"
"haul",0,1,2832,2028,1.7476894359539,"electrical"
"headquarters",0,1,2832,2028,1.7476894359539,"electrical"
"household",0,1,2832,2028,1.7476894359539,"electrical"
"hurdle",0,1,2832,2028,1.7476894359539,"electrical"
"imbalance",0,1,2832,2028,1.7476894359539,"electrical"
