"Token","FreqCommerce","FreqRest","c","d","GStat","Frequency"
"relation","1","12","170640","913449","0.757372789396088","less"
"swoop","1","12","170640","913449","0.757372789396088","less"
"questioning","1","12","170640","913449","0.757372789396088","less"
"execution","1","12","170640","913449","0.757372789396088","less"
"bounds","1","12","170640","913449","0.757372789396088","less"
"surviving","1","12","170640","913449","0.757372789396088","less"
"sorted","1","12","170640","913449","0.757372789396088","less"
"mason","1","12","170640","913449","0.757372789396088","less"
"razor","1","12","170640","913449","0.757372789396088","less"
"wondered","1","12","170640","913449","0.757372789396088","less"
"mould","1","12","170640","913449","0.757372789396088","less"
"post-war","1","12","170640","913449","0.757372789396088","less"
"c.","1","12","170640","913449","0.757372789396088","less"
"appreciated","1","12","170640","913449","0.757372789396088","less"
"gallagher","1","12","170640","913449","0.757372789396088","less"
"rings","1","12","170640","913449","0.757372789396088","less"
"weekends","1","12","170640","913449","0.757372789396088","less"
"steven","1","12","170640","913449","0.757372789396088","less"
"ronnie","1","12","170640","913449","0.757372789396088","less"
"sunny","1","12","170640","913449","0.757372789396088","less"
"fry","1","12","170640","913449","0.757372789396088","less"
"flames","1","12","170640","913449","0.757372789396088","less"
"frightening","1","12","170640","913449","0.757372789396088","less"
"participation","1","12","170640","913449","0.757372789396088","less"
"reliable","1","12","170640","913449","0.757372789396088","less"
"by-pass","1","12","170640","913449","0.757372789396088","less"
"stride","1","12","170640","913449","0.757372789396088","less"
"barriers","1","12","170640","913449","0.757372789396088","less"
"imagination","1","12","170640","913449","0.757372789396088","less"
"swim","1","12","170640","913449","0.757372789396088","less"
"gifts","1","12","170640","913449","0.757372789396088","less"
"disputes","1","12","170640","913449","0.757372789396088","less"
"legally","1","12","170640","913449","0.757372789396088","less"
"tempted","1","12","170640","913449","0.757372789396088","less"
"visitor","1","12","170640","913449","0.757372789396088","less"
"followers","1","12","170640","913449","0.757372789396088","less"
"occupational","1","12","170640","913449","0.757372789396088","less"
"allies","1","12","170640","913449","0.757372789396088","less"
"awkward","1","12","170640","913449","0.757372789396088","less"
"rehearsal","1","12","170640","913449","0.757372789396088","less"
"deprived","1","12","170640","913449","0.757372789396088","less"
"harvest","1","12","170640","913449","0.757372789396088","less"
"du","1","12","170640","913449","0.757372789396088","less"
"dust","1","12","170640","913449","0.757372789396088","less"
"1960s","1","12","170640","913449","0.757372789396088","less"
"barrie","1","12","170640","913449","0.757372789396088","less"
"sensation","1","12","170640","913449","0.757372789396088","less"
"voiced","1","12","170640","913449","0.757372789396088","less"
"alter","1","12","170640","913449","0.757372789396088","less"
"soup","1","12","170640","913449","0.757372789396088","less"
"lengthy","1","12","170640","913449","0.757372789396088","less"
"battles","1","12","170640","913449","0.757372789396088","less"
"selective","1","12","170640","913449","0.757372789396088","less"
"organising","1","12","170640","913449","0.757372789396088","less"
"punter","1","12","170640","913449","0.757372789396088","less"
