"Word","Little","Small","c","d","GStat","Association"
"handful",1,19,36443,31225,22.6804274166809,"small"
"vessel",1,19,36443,31225,22.6804274166809,"small"
"diameter",0,14,36444,31230,21.6496618116516,"small"
"engineering",0,14,36444,31230,21.6496618116516,"small"
"block",4,26,36440,31218,21.6016123125231,"small"
"factory",5,28,36439,31216,21.4219156053699,"small"
"plate",5,28,36439,31216,21.4219156053699,"small"
"reduction",1,18,36443,31226,21.2389677965573,"small"
"share",1,18,36443,31226,21.2389677965573,"small"
"workshop",9,35,36435,31209,20.6886419743814,"small"
"tank",3,23,36441,31221,20.6871257102622,"small"
"attendant",0,13,36444,31231,20.1030332799693,"small"
"chub",0,13,36444,31231,20.1030332799693,"small"
"oval",0,13,36444,31231,20.1030332799693,"small"
"shopkeeper",2,20,36442,31224,20.0015658949616,"small"
"batch",1,17,36443,31227,19.8033991979421,"small"
"fleet",1,17,36443,31227,19.8033991979421,"small"
"species",1,17,36443,31227,19.8033991979421,"small"
"task",1,17,36443,31227,19.8033991979421,"small"
"committee",3,22,36441,31222,19.3906381548139,"small"
"income",3,22,36441,31222,19.3906381548139,"small"
"jar",5,26,36439,31218,19.007882493822,"small"
"bank",2,19,36442,31225,18.6501053559315,"small"
"bomb",2,19,36442,31225,18.6501053559315,"small"
"file",2,19,36442,31225,18.6501053559315,"small"
"order",2,19,36442,31225,18.6501053559315,"small"
"builder",0,12,36444,31232,18.5564392342185,"small"
"constitution",0,12,36444,31232,18.5564392342185,"small"
"towel",0,12,36444,31232,18.5564392342185,"small"
"peasant",1,16,36443,31228,18.3744117536768,"small"
"saver",1,16,36443,31228,18.3744117536768,"small"
"stone",22,53,36422,31191,18.442156673302,"small"
"cell",6,27,36438,31217,17.8910300925433,"small"
"project",4,23,36440,31221,17.8693091587283,"small"
"tree",15,42,36429,31202,17.8253679682024,"small"
"dark",17,45,36427,31199,17.8080119222095,"small"
"packet",14,40,36430,31204,17.389425989242,"small"
"congregation",0,11,36444,31233,17.0098796727697,"small"
"eddy",0,11,36444,31233,17.0098796727697,"small"
"independent",0,11,36444,31233,17.0098796727697,"small"
"mass",0,11,36444,31233,17.0098796727697,"small"
"supermarket",0,11,36444,31233,17.0098796727697,"small"
"tortoiseshell",0,11,36444,31233,17.0098796727697,"small"
"type",0,11,36444,31233,17.0098796727697,"small"
"settlement",7,28,36437,31216,16.9405904990557,"small"
"organisation",3,20,36441,31224,16.8315213472949,"small"
"branch",6,26,36438,31218,16.7523609487325,"small"
"breast",4,22,36440,31222,16.6497932153565,"small"
"exhibition",4,22,36440,31222,16.6497932153565,"small"
"side",12,36,36432,31208,16.5482688416052,"small"
"volume",8,29,36436,31215,16.1195935179848,"small"
"lounge",1,15,36443,31229,16.952825307255,"small"
"saving",1,15,36443,31229,16.952825307255,"small"
"elite",1,14,36443,31230,15.5396241166936,"small"
"addition",0,10,36444,31234,15.4633545940234,"small"
"aperture",0,10,36444,31234,15.4633545940234,"small"
"employer",0,10,36444,31234,15.4633545940234,"small"
"grant",0,10,36444,31234,15.4633545940234,"small"
"granule",0,10,36444,31234,15.4633545940234,"small"
"loan",0,10,36444,31234,15.4633545940234,"small"
"payment",0,10,36444,31234,15.4633545940234,"small"
"pilot",0,10,36444,31234,15.4633545940234,"small"
"practitioner",0,10,36444,31234,15.4633545940234,"small"
"version",0,10,36444,31234,15.4633545940234,"small"
"voice",57,93,36387,31151,15.1886275667267,"small"
"gap",11,33,36433,31211,15.1683749429411,"small"
"force",8,28,36436,31216,15.0675403933695,"small"
"set",8,28,36436,31216,15.0675403933695,"small"
"nation",4,21,36440,31223,15.444310138892,"small"
"cigar",2,16,36442,31228,14.6607002157008,"small"
"donation",2,16,36442,31228,14.6607002157008,"small"
"sailing",2,16,36442,31228,14.6607002157008,"small"
"society",2,16,36442,31228,14.6607002157008,"small"
"estate",3,18,36441,31226,14.3249461088136,"small"
"rodent",3,18,36441,31226,14.3249461088136,"small"
"department",4,20,36440,31224,14.2541143336759,"small"
"plot",15,38,36429,31206,14.1861719608053,"small"
"square",50,83,36394,31161,14.1695317452991,"small"
"spray",1,13,36443,31231,14.1360040070616,"small"
"swimming",1,13,36443,31231,14.1360040070616,"small"
"imbricating",0,9,36444,31235,13.9168639963686,"small"
"increment",0,9,36444,31235,13.9168639963686,"small"
"nucleus",0,9,36444,31235,13.9168639963686,"small"
"proprietor",0,9,36444,31235,13.9168639963686,"small"
"supplement",0,9,36444,31235,13.9168639963686,"small"
"supplier",0,9,36444,31235,13.9168639963686,"small"
"tenant",0,9,36444,31235,13.9168639963686,"small"
"glass",30,58,36414,31186,13.9153182384979,"small"
"museum",6,23,36438,31221,13.4275226607212,"small"
"herd",2,15,36442,31229,13.3568583241609,"small"
"hospital",2,15,36442,31229,13.3568583241609,"small"
"sitting-room",5,21,36439,31223,13.2088631626357,"small"
"car",60,92,36384,31152,12.6420379617993,"small"
"matter",27,52,36417,31192,12.3797530553639,"small"
"alcove",0,8,36444,31236,12.3704078781668,"small"
"cemetery",0,8,36444,31236,12.3704078781668,"small"
"codling",0,8,36444,31236,12.3704078781668,"small"
"correction",0,8,36444,31236,12.3704078781668,"small"
"manor",0,8,36444,31236,12.3704078781668,"small"
"pit",0,8,36444,31236,12.3704078781668,"small"
"retailer",0,8,36444,31236,12.3704078781668,"small"
"salary",0,8,36444,31236,12.3704078781668,"small"
"workforce",0,8,36444,31236,12.3704078781668,"small"
"cut",6,22,36438,31222,12.3536006183315,"small"
"rise",5,20,36439,31224,12.0987182626615,"small"
"survey",1,12,36443,31232,12.743437750468,"small"
"household",2,14,36442,31230,12.06876819555,"small"
"signal",3,16,36441,31228,11.8823419540823,"small"
"specialist",3,16,36441,31228,11.8823419540823,"small"
"wonder",87,120,36357,31124,11.6246550941005,"small"
"parcel",15,35,36429,31209,11.6116944520269,"small"
"package",9,26,36435,31218,11.4470802968023,"small"
"study",11,29,36433,31215,11.4127370743102,"small"
"aquarium",1,11,36443,31233,11.3637678473334,"small"
"conference",1,11,36443,31233,11.3637678473334,"small"
"leather",6,21,36438,31223,11.2992097315376,"small"
"mercy",6,21,36438,31223,11.2992097315376,"small"
"acquisition",0,7,36444,31237,10.8239862378281,"small"
"antelope",0,7,36444,31237,10.8239862378281,"small"
"atom",0,7,36444,31237,10.8239862378281,"small"
"audit",0,7,36444,31237,10.8239862378281,"small"
"borough",0,7,36444,31237,10.8239862378281,"small"
"breed",0,7,36444,31237,10.8239862378281,"small"
"breeding",0,7,36444,31237,10.8239862378281,"small"
"bucket",0,7,36444,31237,10.8239862378281,"small"
"convoy",0,7,36444,31237,10.8239862378281,"small"
"denomination",0,7,36444,31237,10.8239862378281,"small"
"diesel",0,7,36444,31237,10.8239862378281,"small"
"disk",0,7,36444,31237,10.8239862378281,"small"
"electorate",0,7,36444,31237,10.8239862378281,"small"
"enclosure",0,7,36444,31237,10.8239862378281,"small"
"invertebrate",0,7,36444,31237,10.8239862378281,"small"
"reserve",0,7,36444,31237,10.8239862378281,"small"
"telescope",0,7,36444,31237,10.8239862378281,"small"
"tributary",0,7,36444,31237,10.8239862378281,"small"
"user",0,7,36444,31237,10.8239862378281,"small"
"waist",0,7,36444,31237,10.8239862378281,"small"
"whole",0,7,36444,31237,10.8239862378281,"small"
"copper",2,13,36442,31231,10.7986099145838,"small"
"saucepan",2,13,36442,31231,10.7986099145838,"small"
"torch",2,13,36442,31231,10.7986099145838,"small"
"brush",4,17,36440,31227,10.7906702789991,"small"
"token",4,17,36440,31227,10.7906702789991,"small"
"profit",15,34,36429,31210,10.7868475257418,"small"
"crack",3,15,36441,31229,10.6896979554471,"small"
"bedroom",13,31,36431,31213,10.6224903642074,"small"
"hamlet",10,26,36434,31218,10.0474768618937,"small"
"angle",1,10,36443,31234,9.99934177239134,"small"
"cage",1,10,36443,31234,9.99934177239134,"small"
"cart",1,10,36443,31234,9.99934177239134,"small"
"publisher",1,10,36443,31234,9.99934177239134,"small"
"screwdriver",1,10,36443,31234,9.99934177239134,"small"
"shoal",1,10,36443,31234,9.99934177239134,"small"
"suitcase",1,10,36443,31234,9.99934177239134,"small"
"bar",19,38,36425,31206,9.72673161588002,"small"
"arm",16,34,36428,31210,9.70192110090452,"small"
"debt",4,16,36440,31228,9.67829335748357,"small"
"gain",4,16,36440,31228,9.67829335748357,"small"
"component",2,12,36442,31232,9.54905208003341,"small"
"heath",2,12,36442,31232,9.54905208003341,"small"
"error",3,14,36441,31230,9.51935238170168,"small"
"stream",24,44,36420,31200,9.46120533599462,"small"
"building",25,45,36419,31199,9.29760623978935,"small"
"adenoma",0,6,36444,31238,9.27759907373278,"small"
"banana",0,6,36444,31238,9.27759907373278,"small"
"bloom",0,6,36444,31238,9.27759907373278,"small"
"can",0,6,36444,31238,9.27759907373278,"small"
"cohort",0,6,36444,31238,9.27759907373278,"small"
