"Word","Girl","Boy","c","d","GStat","Association"
"roistering",0,2,7553,6017,3.2527207543546,"boy"
"said",0,2,7553,6017,3.2527207543546,"boy"
"scrawny",0,2,7553,6017,3.2527207543546,"boy"
"sickly",0,2,7553,6017,3.2527207543546,"boy"
"soft",0,2,7553,6017,3.2527207543546,"boy"
"speedy",0,2,7553,6017,3.2527207543546,"boy"
"spotty",0,2,7553,6017,3.2527207543546,"boy"
"steady",0,2,7553,6017,3.2527207543546,"boy"
"united",0,2,7553,6017,3.2527207543546,"boy"
"viennese",0,2,7553,6017,3.2527207543546,"boy"
"well-behaved",0,2,7553,6017,3.2527207543546,"boy"
"wobbly",0,2,7553,6017,3.2527207543546,"boy"
"wooden",0,2,7553,6017,3.2527207543546,"boy"
"yielding",0,2,7553,6017,3.2527207543546,"boy"
"cheeky",1,4,7552,6015,2.67375449019873,"boy"
"greek",1,4,7552,6015,2.67375449019873,"boy"
"heavy",1,4,7552,6015,2.67375449019873,"boy"
"tragic",1,4,7552,6015,2.67375449019873,"boy"
"fourteen-year-old",2,5,7551,6014,2.10043225667342,"boy"
"runaway",2,5,7551,6014,2.10043225667342,"boy"
"local",50,55,7503,5964,2.7447300113842,"boy"
"handsome",7,11,7546,6008,2.03860220059163,"boy"
"wild",5,9,7548,6010,2.2493635671975,"boy"
"twin",8,12,7545,6007,1.97359232101526,"boy"
"frightened",4,7,7549,6012,1.65248602674744,"boy"
"welsh",4,7,7549,6012,1.65248602674744,"boy"
"11-hour-old",0,1,7553,6018,1.62626789555114,"boy"
"11year-old",0,1,7553,6018,1.62626789555114,"boy"
"11–12-year-old",0,1,7553,6018,1.62626789555114,"boy"
"3-month-old",0,1,7553,6018,1.62626789555114,"boy"
"7-year-old",0,1,7553,6018,1.62626789555114,"boy"
"9-year-old",0,1,7553,6018,1.62626789555114,"boy"
"Kāmi",0,1,7553,6018,1.62626789555114,"boy"
"abuse",0,1,7553,6018,1.62626789555114,"boy"
"adored",0,1,7553,6018,1.62626789555114,"boy"
"affect",0,1,7553,6018,1.62626789555114,"boy"
"aged",0,1,7553,6018,1.62626789555114,"boy"
"ageing",0,1,7553,6018,1.62626789555114,"boy"
"aggressive",0,1,7553,6018,1.62626789555114,"boy"
"aggrieved",0,1,7553,6018,1.62626789555114,"boy"
"algerian",0,1,7553,6018,1.62626789555114,"boy"
"all-laughing",0,1,7553,6018,1.62626789555114,"boy"
"amphibious",0,1,7553,6018,1.62626789555114,"boy"
"androgynous",0,1,7553,6018,1.62626789555114,"boy"
"anglo-dutch",0,1,7553,6018,1.62626789555114,"boy"
"annual",0,1,7553,6018,1.62626789555114,"boy"
"arcadian",0,1,7553,6018,1.62626789555114,"boy"
"austrian",0,1,7553,6018,1.62626789555114,"boy"
"autistic",0,1,7553,6018,1.62626789555114,"boy"
"aware",0,1,7553,6018,1.62626789555114,"boy"
"b-",0,1,7553,6018,1.62626789555114,"boy"
"babe-obsessed",0,1,7553,6018,1.62626789555114,"boy"
"badly-off",0,1,7553,6018,1.62626789555114,"boy"
"bare-footed",0,1,7553,6018,1.62626789555114,"boy"
"barefoot",0,1,7553,6018,1.62626789555114,"boy"
"barrel-organ",0,1,7553,6018,1.62626789555114,"boy"
"basic",0,1,7553,6018,1.62626789555114,"boy"
"bath-house",0,1,7553,6018,1.62626789555114,"boy"
"bawling",0,1,7553,6018,1.62626789555114,"boy"
"beamish",0,1,7553,6018,1.62626789555114,"boy"
"bear",0,1,7553,6018,1.62626789555114,"boy"
"befriend",0,1,7553,6018,1.62626789555114,"boy"
"behind-the-scenes",0,1,7553,6018,1.62626789555114,"boy"
"best-dressed",0,1,7553,6018,1.62626789555114,"boy"
"betting",0,1,7553,6018,1.62626789555114,"boy"
"bevan",0,1,7553,6018,1.62626789555114,"boy"
"big-money",0,1,7553,6018,1.62626789555114,"boy"
"big-time",0,1,7553,6018,1.62626789555114,"boy"
"bing",0,1,7553,6018,1.62626789555114,"boy"
"bizarre",0,1,7553,6018,1.62626789555114,"boy"
"blazered",0,1,7553,6018,1.62626789555114,"boy"
"blindfolded",0,1,7553,6018,1.62626789555114,"boy"
"blood-covered",0,1,7553,6018,1.62626789555114,"boy"
"blood-drenched",0,1,7553,6018,1.62626789555114,"boy"
"bold",0,1,7553,6018,1.62626789555114,"boy"
"bookish",0,1,7553,6018,1.62626789555114,"boy"
"boorish",0,1,7553,6018,1.62626789555114,"boy"
"brazilian",0,1,7553,6018,1.62626789555114,"boy"
"bristle-headed",0,1,7553,6018,1.62626789555114,"boy"
"brown-gold",0,1,7553,6018,1.62626789555114,"boy"
"brown-haired",0,1,7553,6018,1.62626789555114,"boy"
"buddhist",0,1,7553,6018,1.62626789555114,"boy"
"budgy",0,1,7553,6018,1.62626789555114,"boy"
"bull-voiced",0,1,7553,6018,1.62626789555114,"boy"
"bury",0,1,7553,6018,1.62626789555114,"boy"
"call",0,1,7553,6018,1.62626789555114,"boy"
"capricious",0,1,7553,6018,1.62626789555114,"boy"
"central",0,1,7553,6018,1.62626789555114,"boy"
"changed",0,1,7553,6018,1.62626789555114,"boy"
"characterful",0,1,7553,6018,1.62626789555114,"boy"
"characterless",0,1,7553,6018,1.62626789555114,"boy"
"cheeky-chopped",0,1,7553,6018,1.62626789555114,"boy"
"cheque-book",0,1,7553,6018,1.62626789555114,"boy"
"circassian",0,1,7553,6018,1.62626789555114,"boy"
"classic",0,1,7553,6018,1.62626789555114,"boy"
"clean-living",0,1,7553,6018,1.62626789555114,"boy"
"clothe",0,1,7553,6018,1.62626789555114,"boy"
"cold",0,1,7553,6018,1.62626789555114,"boy"
"colourful",0,1,7553,6018,1.62626789555114,"boy"
"competent",0,1,7553,6018,1.62626789555114,"boy"
"complex",0,1,7553,6018,1.62626789555114,"boy"
"comprise",0,1,7553,6018,1.62626789555114,"boy"
"confident",0,1,7553,6018,1.62626789555114,"boy"
"confused",0,1,7553,6018,1.62626789555114,"boy"
"conscientious",0,1,7553,6018,1.62626789555114,"boy"
"cornered",0,1,7553,6018,1.62626789555114,"boy"
"cossack",0,1,7553,6018,1.62626789555114,"boy"
"courteous",0,1,7553,6018,1.62626789555114,"boy"
"create",0,1,7553,6018,1.62626789555114,"boy"
"crying",0,1,7553,6018,1.62626789555114,"boy"
"cuff",0,1,7553,6018,1.62626789555114,"boy"
"cunning",0,1,7553,6018,1.62626789555114,"boy"
"curious",0,1,7553,6018,1.62626789555114,"boy"
"curly-headed",0,1,7553,6018,1.62626789555114,"boy"
"dangerous",0,1,7553,6018,1.62626789555114,"boy"
"dauntless",0,1,7553,6018,1.62626789555114,"boy"
"davey",0,1,7553,6018,1.62626789555114,"boy"
"day-old",0,1,7553,6018,1.62626789555114,"boy"
"deceased",0,1,7553,6018,1.62626789555114,"boy"
"delighted",0,1,7553,6018,1.62626789555114,"boy"
"demented",0,1,7553,6018,1.62626789555114,"boy"
"dependent",0,1,7553,6018,1.62626789555114,"boy"
"digital",0,1,7553,6018,1.62626789555114,"boy"
"dim-witted",0,1,7553,6018,1.62626789555114,"boy"
"disadvantaged",0,1,7553,6018,1.62626789555114,"boy"
"disagreeable",0,1,7553,6018,1.62626789555114,"boy"
"disappearing",0,1,7553,6018,1.62626789555114,"boy"
"disgusting",0,1,7553,6018,1.62626789555114,"boy"
"disobedient",0,1,7553,6018,1.62626789555114,"boy"
"dissipated",0,1,7553,6018,1.62626789555114,"boy"
"downy",0,1,7553,6018,1.62626789555114,"boy"
"dratted",0,1,7553,6018,1.62626789555114,"boy"
"drowned",0,1,7553,6018,1.62626789555114,"boy"
"drowsing",0,1,7553,6018,1.62626789555114,"boy"
"dump",0,1,7553,6018,1.62626789555114,"boy"
"dusty-faced",0,1,7553,6018,1.62626789555114,"boy"
"dying",0,1,7553,6018,1.62626789555114,"boy"
"easy",0,1,7553,6018,1.62626789555114,"boy"
"educate",0,1,7553,6018,1.62626789555114,"boy"
"eight-pound",0,1,7553,6018,1.62626789555114,"boy"
"eight-week-old",0,1,7553,6018,1.62626789555114,"boy"
"elderly",0,1,7553,6018,1.62626789555114,"boy"
"eligible",0,1,7553,6018,1.62626789555114,"boy"
"embarrassed",0,1,7553,6018,1.62626789555114,"boy"
"enfranchised",0,1,7553,6018,1.62626789555114,"boy"
"enterprising",0,1,7553,6018,1.62626789555114,"boy"
"eritrean",0,1,7553,6018,1.62626789555114,"boy"
"errant",0,1,7553,6018,1.62626789555114,"boy"
"especial",0,1,7553,6018,1.62626789555114,"boy"
"european",0,1,7553,6018,1.62626789555114,"boy"
"everly",0,1,7553,6018,1.62626789555114,"boy"
"ex-beach",0,1,7553,6018,1.62626789555114,"boy"
"ex-borstal",0,1,7553,6018,1.62626789555114,"boy"
"ex-fun",0,1,7553,6018,1.62626789555114,"boy"
"existing",0,1,7553,6018,1.62626789555114,"boy"
"expressionless",0,1,7553,6018,1.62626789555114,"boy"
"fatty",0,1,7553,6018,1.62626789555114,"boy"
"favour",0,1,7553,6018,1.62626789555114,"boy"
"fearless",0,1,7553,6018,1.62626789555114,"boy"
"fine-looking",0,1,7553,6018,1.62626789555114,"boy"
"finnish",0,1,7553,6018,1.62626789555114,"boy"
"first-born",0,1,7553,6018,1.62626789555114,"boy"
"five-o'clock-shadowed",0,1,7553,6018,1.62626789555114,"boy"
"flame-haired",0,1,7553,6018,1.62626789555114,"boy"
"fly",0,1,7553,6018,1.62626789555114,"boy"
"football-loving",0,1,7553,6018,1.62626789555114,"boy"
"football-mad",0,1,7553,6018,1.62626789555114,"boy"
"forced",0,1,7553,6018,1.62626789555114,"boy"
"forceful",0,1,7553,6018,1.62626789555114,"boy"
"formidable",0,1,7553,6018,1.62626789555114,"boy"
"fortunate",0,1,7553,6018,1.62626789555114,"boy"
"fourth-year",0,1,7553,6018,1.62626789555114,"boy"
"franky",0,1,7553,6018,1.62626789555114,"boy"
"freckle-faced",0,1,7553,6018,1.62626789555114,"boy"
"front-of-house",0,1,7553,6018,1.62626789555114,"boy"
"fucked-up",0,1,7553,6018,1.62626789555114,"boy"
"future",0,1,7553,6018,1.62626789555114,"boy"
"gangling",0,1,7553,6018,1.62626789555114,"boy"
"gangly",0,1,7553,6018,1.62626789555114,"boy"
"gay",0,1,7553,6018,1.62626789555114,"boy"
"giant",0,1,7553,6018,1.62626789555114,"boy"
"glorified",0,1,7553,6018,1.62626789555114,"boy"
"god-like",0,1,7553,6018,1.62626789555114,"boy"
"good-mannered",0,1,7553,6018,1.62626789555114,"boy"
"gymnastic",0,1,7553,6018,1.62626789555114,"boy"
"hard-eyed",0,1,7553,6018,1.62626789555114,"boy"
"hateful",0,1,7553,6018,1.62626789555114,"boy"
"heavily-built",0,1,7553,6018,1.62626789555114,"boy"
"heavy-handed",0,1,7553,6018,1.62626789555114,"boy"
"high-hab",0,1,7553,6018,1.62626789555114,"boy"
"hill-based",0,1,7553,6018,1.62626789555114,"boy"
"hold",0,1,7553,6018,1.62626789555114,"boy"
"holy",0,1,7553,6018,1.62626789555114,"boy"
"home-loving",0,1,7553,6018,1.62626789555114,"boy"
"home-town",0,1,7553,6018,1.62626789555114,"boy"
"horrible",0,1,7553,6018,1.62626789555114,"boy"
"horrid",0,1,7553,6018,1.62626789555114,"boy"
"hulking",0,1,7553,6018,1.62626789555114,"boy"
"humble",0,1,7553,6018,1.62626789555114,"boy"
"hunchbacked",0,1,7553,6018,1.62626789555114,"boy"
"hurt",0,1,7553,6018,1.62626789555114,"boy"
"idle",0,1,7553,6018,1.62626789555114,"boy"
"immigrant",0,1,7553,6018,1.62626789555114,"boy"
"impish",0,1,7553,6018,1.62626789555114,"boy"
"impress",0,1,7553,6018,1.62626789555114,"boy"
"improvised",0,1,7553,6018,1.62626789555114,"boy"
"inactive",0,1,7553,6018,1.62626789555114,"boy"
"ingushi",0,1,7553,6018,1.62626789555114,"boy"
"inner-city",0,1,7553,6018,1.62626789555114,"boy"
"inquisitive",0,1,7553,6018,1.62626789555114,"boy"
"inspired",0,1,7553,6018,1.62626789555114,"boy"
"institutionalized",0,1,7553,6018,1.62626789555114,"boy"
"instruct",0,1,7553,6018,1.62626789555114,"boy"
"inter",0,1,7553,6018,1.62626789555114,"boy"
"interested",0,1,7553,6018,1.62626789555114,"boy"
"introverted",0,1,7553,6018,1.62626789555114,"boy"
"irresponsible",0,1,7553,6018,1.62626789555114,"boy"
"israelite",0,1,7553,6018,1.62626789555114,"boy"
"joyous",0,1,7553,6018,1.62626789555114,"boy"
"kentish",0,1,7553,6018,1.62626789555114,"boy"
"kiss",0,1,7553,6018,1.62626789555114,"boy"
"kurdish",0,1,7553,6018,1.62626789555114,"boy"
"kutenai",0,1,7553,6018,1.62626789555114,"boy"
"lackadaisical",0,1,7553,6018,1.62626789555114,"boy"
"lame",0,1,7553,6018,1.62626789555114,"boy"
"larky",0,1,7553,6018,1.62626789555114,"boy"
"lazy",0,1,7553,6018,1.62626789555114,"boy"
"leading",0,1,7553,6018,1.62626789555114,"boy"
"light-framed",0,1,7553,6018,1.62626789555114,"boy"
"lily-skinned",0,1,7553,6018,1.62626789555114,"boy"
"limping",0,1,7553,6018,1.62626789555114,"boy"
"lippy",0,1,7553,6018,1.62626789555114,"boy"
"livid",0,1,7553,6018,1.62626789555114,"boy"
"loathsome",0,1,7553,6018,1.62626789555114,"boy"
"long",0,1,7553,6018,1.62626789555114,"boy"
"long-forgotten",0,1,7553,6018,1.62626789555114,"boy"
"lower-working-class",0,1,7553,6018,1.62626789555114,"boy"
"mannish",0,1,7553,6018,1.62626789555114,"boy"
"maori",0,1,7553,6018,1.62626789555114,"boy"
"marauding",0,1,7553,6018,1.62626789555114,"boy"
"marine",0,1,7553,6018,1.62626789555114,"boy"
"masked",0,1,7553,6018,1.62626789555114,"boy"
"massive",0,1,7553,6018,1.62626789555114,"boy"
"masturbated",0,1,7553,6018,1.62626789555114,"boy"
"matey",0,1,7553,6018,1.62626789555114,"boy"
"maturing",0,1,7553,6018,1.62626789555114,"boy"
"merchant-navy",0,1,7553,6018,1.62626789555114,"boy"
"mind",0,1,7553,6018,1.62626789555114,"boy"
"minded",0,1,7553,6018,1.62626789555114,"boy"
"miraculous",0,1,7553,6018,1.62626789555114,"boy"
"mocking",0,1,7553,6018,1.62626789555114,"boy"
"month-old",0,1,7553,6018,1.62626789555114,"boy"
"moroccan",0,1,7553,6018,1.62626789555114,"boy"
"mother-dominated",0,1,7553,6018,1.62626789555114,"boy"
"motherless",0,1,7553,6018,1.62626789555114,"boy"
"moustachioe",0,1,7553,6018,1.62626789555114,"boy"
"music-loving",0,1,7553,6018,1.62626789555114,"boy"
"mutilated",0,1,7553,6018,1.62626789555114,"boy"
"naval",0,1,7553,6018,1.62626789555114,"boy"
"nazi",0,1,7553,6018,1.62626789555114,"boy"
"neighbouring",0,1,7553,6018,1.62626789555114,"boy"
"nepalese",0,1,7553,6018,1.62626789555114,"boy"
"newly-commissioned",0,1,7553,6018,1.62626789555114,"boy"
"nice-look",0,1,7553,6018,1.62626789555114,"boy"
"nice-looking",0,1,7553,6018,1.62626789555114,"boy"
"nicer-looking",0,1,7553,6018,1.62626789555114,"boy"
"niki",0,1,7553,6018,1.62626789555114,"boy"
"nine-week-old",0,1,7553,6018,1.62626789555114,"boy"
"noble",0,1,7553,6018,1.62626789555114,"boy"
"non-aggressive",0,1,7553,6018,1.62626789555114,"boy"
"non-conformist",0,1,7553,6018,1.62626789555114,"boy"
"non-delinquent",0,1,7553,6018,1.62626789555114,"boy"
"non-fighting",0,1,7553,6018,1.62626789555114,"boy"
"non-macho",0,1,7553,6018,1.62626789555114,"boy"
"non-public-school",0,1,7553,6018,1.62626789555114,"boy"
"non-stop",0,1,7553,6018,1.62626789555114,"boy"
"nubian",0,1,7553,6018,1.62626789555114,"boy"
"nutty",0,1,7553,6018,1.62626789555114,"boy"
"obliging",0,1,7553,6018,1.62626789555114,"boy"
"observant",0,1,7553,6018,1.62626789555114,"boy"
"obstinate",0,1,7553,6018,1.62626789555114,"boy"
"organize",0,1,7553,6018,1.62626789555114,"boy"
"overgrow",0,1,7553,6018,1.62626789555114,"boy"
"passive",0,1,7553,6018,1.62626789555114,"boy"
"past",0,1,7553,6018,1.62626789555114,"boy"
"pasty",0,1,7553,6018,1.62626789555114,"boy"
"pay",0,1,7553,6018,1.62626789555114,"boy"
"peculiar",0,1,7553,6018,1.62626789555114,"boy"
"personable",0,1,7553,6018,1.62626789555114,"boy"
"pimpled",0,1,7553,6018,1.62626789555114,"boy"
"pizza-faced",0,1,7553,6018,1.62626789555114,"boy"
"placid",0,1,7553,6018,1.62626789555114,"boy"
"play",0,1,7553,6018,1.62626789555114,"boy"
"plucky",0,1,7553,6018,1.62626789555114,"boy"
"pompous",0,1,7553,6018,1.62626789555114,"boy"
"poorly",0,1,7553,6018,1.62626789555114,"boy"
"posh",0,1,7553,6018,1.62626789555114,"boy"
"potential",0,1,7553,6018,1.62626789555114,"boy"
"powerful",0,1,7553,6018,1.62626789555114,"boy"
"pre-school",0,1,7553,6018,1.62626789555114,"boy"
"prefer",0,1,7553,6018,1.62626789555114,"boy"
"prep-school",0,1,7553,6018,1.62626789555114,"boy"
"pretend",0,1,7553,6018,1.62626789555114,"boy"
"protestant",0,1,7553,6018,1.62626789555114,"boy"
"prowl-car",0,1,7553,6018,1.62626789555114,"boy"
"puny",0,1,7553,6018,1.62626789555114,"boy"
"quick",0,1,7553,6018,1.62626789555114,"boy"
"race",0,1,7553,6018,1.62626789555114,"boy"
"real-life",0,1,7553,6018,1.62626789555114,"boy"
"reckless",0,1,7553,6018,1.62626789555114,"boy"
"red-faced",0,1,7553,6018,1.62626789555114,"boy"
"resourceful",0,1,7553,6018,1.62626789555114,"boy"
"retain",0,1,7553,6018,1.62626789555114,"boy"
"retarded",0,1,7553,6018,1.62626789555114,"boy"
"revolting",0,1,7553,6018,1.62626789555114,"boy"
"rican",0,1,7553,6018,1.62626789555114,"boy"
"ridiculous",0,1,7553,6018,1.62626789555114,"boy"
"roar",0,1,7553,6018,1.62626789555114,"boy"
"rockabilly",0,1,7553,6018,1.62626789555114,"boy"
"roof-fall",0,1,7553,6018,1.62626789555114,"boy"
"round-headed",0,1,7553,6018,1.62626789555114,"boy"
"rowdy",0,1,7553,6018,1.62626789555114,"boy"
"royalist",0,1,7553,6018,1.62626789555114,"boy"
"rugby-playing",0,1,7553,6018,1.62626789555114,"boy"
"scientific",0,1,7553,6018,1.62626789555114,"boy"
"serbian",0,1,7553,6018,1.62626789555114,"boy"
"sharp",0,1,7553,6018,1.62626789555114,"boy"
"sheathed",0,1,7553,6018,1.62626789555114,"boy"
"shed",0,1,7553,6018,1.62626789555114,"boy"
"shout",0,1,7553,6018,1.62626789555114,"boy"
"similar",0,1,7553,6018,1.62626789555114,"boy"
"single-sex",0,1,7553,6018,1.62626789555114,"boy"
"skeletal",0,1,7553,6018,1.62626789555114,"boy"
"skewer",0,1,7553,6018,1.62626789555114,"boy"
"skilful",0,1,7553,6018,1.62626789555114,"boy"
"skullcapped",0,1,7553,6018,1.62626789555114,"boy"
"slant-eyed",0,1,7553,6018,1.62626789555114,"boy"
"slow",0,1,7553,6018,1.62626789555114,"boy"
"smelly",0,1,7553,6018,1.62626789555114,"boy"
"snot-faced",0,1,7553,6018,1.62626789555114,"boy"
"soaked",0,1,7553,6018,1.62626789555114,"boy"
"solemn-faced",0,1,7553,6018,1.62626789555114,"boy"
"son-shine",0,1,7553,6018,1.62626789555114,"boy"
"southern",0,1,7553,6018,1.62626789555114,"boy"
"specific",0,1,7553,6018,1.62626789555114,"boy"
"spectacular-looking",0,1,7553,6018,1.62626789555114,"boy"
"spidery",0,1,7553,6018,1.62626789555114,"boy"
"spiritual",0,1,7553,6018,1.62626789555114,"boy"
"standard",0,1,7553,6018,1.62626789555114,"boy"
"star",0,1,7553,6018,1.62626789555114,"boy"
