"Word","Little","Small","c","d","GStat","Association"
"other",59,141,5016,946,282.799960880133,"small"
"only",36,119,5039,968,268.73638804331,"small"
"proximal",0,28,5075,1059,97.7589688453235,"small"
"numerous",4,30,5071,1057,81.6719655070129,"small"
"far",3,19,5072,1068,49.8253613234838,"small"
"wee",2,15,5073,1072,40.6723295219043,"small"
"existing",0,11,5075,1076,38.2616001964086,"small"
"various",6,18,5069,1069,38.0093098349638,"small"
"occasional",1,12,5074,1075,35.0824575469837,"small"
"new",25,28,5050,1059,33.952622484832,"small"
"local",0,9,5075,1078,31.2912083031576,"small"
"remaining",0,8,5075,1079,27.8083085561496,"small"
"certain",5,13,5070,1074,25.8882959138978,"small"
"still",1,9,5074,1078,25.1748098471149,"small"
"single",2,10,5073,1077,24.7321101249893,"small"
"individual",0,7,5075,1080,24.3269373856467,"small"
"similar",0,7,5075,1080,24.3269373856467,"small"
"distal",0,6,5075,1081,20.8470931281863,"small"
"upper",0,6,5075,1081,20.8470931281863,"small"
"normal",3,9,5072,1078,18.9511550989466,"small"
"entire",0,5,5075,1082,17.3687741234583,"small"
"multiple",0,5,5075,1082,17.3687741234583,"small"
"british",0,4,5075,1083,13.8919787143051,"small"
"successful",0,4,5075,1083,13.8919787143051,"small"
"separate",2,6,5073,1081,12.6222720164183,"small"
"typical",1,5,5074,1082,12.3486004907885,"small"
"continual",0,3,5075,1084,10.4167052467076,"small"
"potential",0,3,5075,1084,10.4167052467076,"small"
"recent",0,3,5075,1084,10.4167052467076,"small"
"subcontract",0,3,5075,1084,10.4167052467076,"small"
"independent",3,6,5072,1081,10.548753767876,"small"
"average",1,4,5074,1083,9.2748401861728,"small"
"present",1,4,5074,1083,9.2748401861728,"small"
"countless",4,6,5071,1081,8.93221920093321,"small"
"annual",0,2,5075,1085,6.94295206978045,"small"
"continuous",0,2,5075,1085,6.94295206978045,"small"
"corresponding",0,2,5075,1085,6.94295206978045,"small"
"discerning",0,2,5075,1085,6.94295206978045,"small"
"dynamic",0,2,5075,1085,6.94295206978045,"small"
"employ",0,2,5075,1085,6.94295206978045,"small"
"exceptional",0,2,5075,1085,6.94295206978045,"small"
"giant-slaying",0,2,5075,1085,6.94295206978045,"small"
"graceful",0,2,5075,1085,6.94295206978045,"small"
"grow",0,2,5075,1085,6.94295206978045,"small"
"growing",0,2,5075,1085,6.94295206978045,"small"
"human",0,2,5075,1085,6.94295206978045,"small"
"improve",0,2,5075,1085,6.94295206978045,"small"
"lead",0,2,5075,1085,6.94295206978045,"small"
"mammalian",0,2,5075,1085,6.94295206978045,"small"
"popular",0,2,5075,1085,6.94295206978045,"small"
"possible",0,2,5075,1085,6.94295206978045,"small"
"relative",0,2,5075,1085,6.94295206978045,"small"
"roost",0,2,5075,1085,6.94295206978045,"small"
"royal",0,2,5075,1085,6.94295206978045,"small"
"selected",0,2,5075,1085,6.94295206978045,"small"
"distinctive",1,3,5074,1084,6.30523457778048,"small"
"near",1,3,5074,1084,6.30523457778048,"small"
"original",1,3,5074,1084,6.30523457778048,"small"
"rapid",1,3,5074,1084,6.30523457778048,"small"
"unknown",1,3,5074,1084,6.30523457778048,"small"
"thriving",3,4,5072,1083,5.49213039362932,"small"
"perfect",14,3,5061,1084,5.23886580000923e-07,"small"
"big",2,3,5073,1084,4.46107893823026,"small"
"innumerable",2,3,5073,1084,4.46107893823026,"small"
"usual",4,4,5071,1083,4.34958275098474,"small"
"adjoining",1,2,5074,1085,3.51140227607832,"small"
"attract",1,2,5074,1085,3.51140227607832,"small"
"encouraging",1,2,5074,1085,3.51140227607832,"small"
"general",1,2,5074,1085,3.51140227607832,"small"
"high",1,2,5074,1085,3.51140227607832,"small"
"male",1,2,5074,1085,3.51140227607832,"small"
"scattered",1,2,5074,1085,3.51140227607832,"small"
"10-room",0,1,5075,1086,3.47071753576205,"small"
"169-member",0,1,5075,1086,3.47071753576205,"small"
"abnormal",0,1,5075,1086,3.47071753576205,"small"
"above",0,1,5075,1086,3.47071753576205,"small"
"absorbed",0,1,5075,1086,3.47071753576205,"small"
"abundant",0,1,5075,1086,3.47071753576205,"small"
"accessible",0,1,5075,1086,3.47071753576205,"small"
"additional",0,1,5075,1086,3.47071753576205,"small"
"admirable",0,1,5075,1086,3.47071753576205,"small"
"affordable",0,1,5075,1086,3.47071753576205,"small"
"aggregate",0,1,5075,1086,3.47071753576205,"small"
"alarmed",0,1,5075,1086,3.47071753576205,"small"
"american",0,1,5075,1086,3.47071753576205,"small"
"archetypal",0,1,5075,1086,3.47071753576205,"small"
"ashen-faced",0,1,5075,1086,3.47071753576205,"small"
"assist",0,1,5075,1086,3.47071753576205,"small"
"attendant",0,1,5075,1086,3.47071753576205,"small"
"bankrupt",0,1,5075,1086,3.47071753576205,"small"
"best-selling",0,1,5075,1086,3.47071753576205,"small"
"chop",0,1,5075,1086,3.47071753576205,"small"
"chopped",0,1,5075,1086,3.47071753576205,"small"
"chronic",0,1,5075,1086,3.47071753576205,"small"
"clear",0,1,5075,1086,3.47071753576205,"small"
"clustered",0,1,5075,1086,3.47071753576205,"small"
"commone",0,1,5075,1086,3.47071753576205,"small"
"considerable",0,1,5075,1086,3.47071753576205,"small"
"control",0,1,5075,1086,3.47071753576205,"small"
"crime-hit",0,1,5075,1086,3.47071753576205,"small"
"critical",0,1,5075,1086,3.47071753576205,"small"
"cultured",0,1,5075,1086,3.47071753576205,"small"
"current",0,1,5075,1086,3.47071753576205,"small"
"customary",0,1,5075,1086,3.47071753576205,"small"
"defenceless",0,1,5075,1086,3.47071753576205,"small"
"definite",0,1,5075,1086,3.47071753576205,"small"
