"Lemma","Wordform","TokenID","FileID"
"summar-ISE","summarize",981284,"M01"
"material-ISE","materialised",982965,"M02"
"symbol-ISE","symbolised",984154,"M02"
"visual-ISE","visualise",987552,"M04"
"real-ISE","realised",988208,"M04"
"real-ISE","realised",994249,"N01"
"recogn-ISE","recognise",994647,"N01"
"recogn-ISE","recognise",994982,"N01"
"emphas-ISE","emphasised",995876,"N01"
"real-ISE","realise",996565,"N02"
"deput-ISE","deputise",996655,"N02"
"sympath-ISE","sympathise",996894,"N02"
"critic-ISE","criticise",997372,"N02"
"victim-ISE","victimise",998103,"N02"
"recogn-ISE","recognize",999113,"N03"
"real-ISE","realizing",1000452,"N03"
"emphas-ISE","emphasizing",1010573,"N07"
"real-ISE","realised",1017385,"N10"
"real-ISE","realised",1017506,"N10"
"paral-ISE","paralyse",1018885,"N11"
"real-ISE","realized",1019929,"N11"
"real-ISE","realize",1021238,"N12"
"real-ISE","realize",1022752,"N12"
"real-ISE","realize",1023362,"N12"
"recogn-ISE","recognised",1028219,"N14"
"real-ISE","realized",1028592,"N15"
"real-ISE","realized",1029604,"N15"
"real-ISE","realize",1033411,"N16"
"real-ISE","realized",1033523,"N16"
"recogn-ISE","recognise",1033695,"N17"
"real-ISE","realise",1034108,"N17"
"apolog-ISE","apologise",1035003,"N17"
"real-ISE","realised",1036025,"N18"
"real-ISE","realised",1036687,"N18"
"recogn-ISE","recognise",1036836,"N18"
"real-ISE","realise",1036943,"N18"
"real-ISE","realised",1037785,"N18"
"recogn-ISE","recognised",1038207,"N18"
"paral-ISE","paralysed",1044489,"N21"
"recogn-ISE","recognised",1044506,"N21"
"real-ISE","realized",1049102,"N23"
"real-ISE","realised",1054251,"N25"
"recogn-ISE","recognized",1055122,"N25"
"recogn-ISE","recognized",1055198,"N25"
"apolog-ISE","apologising",1057147,"N26"
"real-ISE","realised",1062349,"N28"
"real-ISE","realised",1062871,"N28"
"real-ISE","realized",1064614,"N29"
"real-ISE","realized",1065020,"N29"
"real-ISE","realise",1069717,"P02"
"real-ISE","realised",1071315,"P03"
"sympath-ISE","sympathize",1075212,"P05"
"real-ISE","realize",1075717,"P05"
"recogn-ISE","recognizing",1076047,"P05"
"apolog-ISE","apologize",1077070,"P05"
"real-ISE","realized",1078786,"P06"
"real-ISE","realised",1082909,"P08"
"real-ISE","realised",1083571,"P08"
"real-ISE","realised",1084065,"P08"
"real-ISE","realising",1084268,"P08"
"real-ISE","realised",1084953,"P09"
"real-ISE","realizing",1089669,"P10"
"real-ISE","realised",1090525,"P11"
"real-ISE","realised",1092106,"P12"
"recogn-ISE","recognised",1092695,"P12"
"real-ISE","realised",1093265,"P12"
"real-ISE","realising",1094656,"P13"
"real-ISE","realising",1094899,"P13"
"real-ISE","realised",1095575,"P13"
"real-ISE","realise",1095749,"P13"
"real-ISE","realised",1096528,"P13"
"real-ISE","realised",1097010,"P13"
"visual-ISE","visualised",1097441,"P14"
"real-ISE","realise",1097794,"P14"
"real-ISE","realised",1098470,"P14"
"real-ISE","realised",1098958,"P14"
"real-ISE","realized",1101118,"P15"
"recogn-ISE","recognized",1101929,"P15"
"recogn-ISE","recognised",1106680,"P17"
"recogn-ISE","recognise",1111085,"P19"
"real-ISE","realising",1115454,"P21"
"real-ISE","realized",1118895,"P22"
"real-ISE","realised",1119656,"P23"
"patron-ISE","patronised",1125406,"P25"
"real-ISE","realised",1127336,"P26"
"scrutin-ISE","scrutinised",1129298,"P27"
"real-ISE","realising",1129311,"P27"
"recogn-ISE","recognise",1129503,"P27"
"apolog-ISE","apologise",1129880,"P27"
"organ-ISE","re-organise",1130774,"P27"
"scrutin-ISE","scrutinised",1132119,"P28"
"special-ISE","specialising",1136878,"R01"
"organ-ISE","organised",1136953,"R01"
"organ-ISE","organising",1139617,"R02"
"real-ISE","realised",1139673,"R02"
"rational-ISE","rationalise",1140014,"R02"
"real-ISE","realise",1140603,"R02"
"real-ISE","realised",1142091,"R03"
"special-ISE","specialised",1143235,"R03"
"ostrac-ISE","ostracised",1146063,"R05"
"apolog-ISE","apologising",1148971,"R06"
"real-ISE","realized",1153116,"R08"
"real-ISE","realized",1153449,"R08"
"stabil-ISE","stabilise",1157204,"R09"
