"Word","He","She","c","d","GStat","Association"
"hunt",1,1,54216,37889,0.0638529906286986,"she"
"hunt",1,1,54216,37889,0.0638529906286986,"she"
"inch",1,1,54216,37889,0.0638529906286986,"she"
"increase",1,1,54216,37889,0.0638529906286986,"she"
"increase",1,1,54216,37889,0.0638529906286986,"she"
"increase",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"intervene",1,1,54216,37889,0.0638529906286986,"she"
"liken",1,1,54216,37889,0.0638529906286986,"she"
"liken",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"linger",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"organise",1,1,54216,37889,0.0638529906286986,"she"
"park",1,1,54216,37889,0.0638529906286986,"she"
"park",1,1,54216,37889,0.0638529906286986,"she"
"park",1,1,54216,37889,0.0638529906286986,"she"
"park",1,1,54216,37889,0.0638529906286986,"she"
"park",1,1,54216,37889,0.0638529906286986,"she"
"park",1,1,54216,37889,0.0638529906286986,"she"
"perform",1,1,54216,37889,0.0638529906286986,"she"
"perform",1,1,54216,37889,0.0638529906286986,"she"
"persevere",1,1,54216,37889,0.0638529906286986,"she"
"persevere",1,1,54216,37889,0.0638529906286986,"she"
"phrase",1,1,54216,37889,0.0638529906286986,"she"
"pinch",1,1,54216,37889,0.0638529906286986,"she"
"pipe",1,1,54216,37889,0.0638529906286986,"she"
"pipe",1,1,54216,37889,0.0638529906286986,"she"
"pipe",1,1,54216,37889,0.0638529906286986,"she"
"plonk",1,1,54216,37889,0.0638529906286986,"she"
"plump",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"pose",1,1,54216,37889,0.0638529906286986,"she"
"provoke",1,1,54216,37889,0.0638529906286986,"she"
"puzzle",1,1,54216,37889,0.0638529906286986,"she"
"puzzle",1,1,54216,37889,0.0638529906286986,"she"
"puzzle",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"rally",1,1,54216,37889,0.0638529906286986,"she"
"recollect",1,1,54216,37889,0.0638529906286986,"she"
"recollect",1,1,54216,37889,0.0638529906286986,"she"
"recount",1,1,54216,37889,0.0638529906286986,"she"
"recount",1,1,54216,37889,0.0638529906286986,"she"
"recount",1,1,54216,37889,0.0638529906286986,"she"
"recount",1,1,54216,37889,0.0638529906286986,"she"
"recount",1,1,54216,37889,0.0638529906286986,"she"
"recount",1,1,54216,37889,0.0638529906286986,"she"
"renounce",1,1,54216,37889,0.0638529906286986,"she"
"renounce",1,1,54216,37889,0.0638529906286986,"she"
"renounce",1,1,54216,37889,0.0638529906286986,"she"
"renounce",1,1,54216,37889,0.0638529906286986,"she"
"retire",1,1,54216,37889,0.0638529906286986,"she"
"retrieve",1,1,54216,37889,0.0638529906286986,"she"
"rev",1,1,54216,37889,0.0638529906286986,"she"
"rev",1,1,54216,37889,0.0638529906286986,"she"
"rev",1,1,54216,37889,0.0638529906286986,"she"
"rev",1,1,54216,37889,0.0638529906286986,"she"
"rev",1,1,54216,37889,0.0638529906286986,"she"
"ripost",1,1,54216,37889,0.0638529906286986,"she"
"ripost",1,1,54216,37889,0.0638529906286986,"she"
"rotate",1,1,54216,37889,0.0638529906286986,"she"
"rotate",1,1,54216,37889,0.0638529906286986,"she"
"rotate",1,1,54216,37889,0.0638529906286986,"she"
"rotate",1,1,54216,37889,0.0638529906286986,"she"
"rotate",1,1,54216,37889,0.0638529906286986,"she"
"rotate",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"scamper",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"shy",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"snake",1,1,54216,37889,0.0638529906286986,"she"
"swim",1,1,54216,37889,0.0638529906286986,"she"
"swish",1,1,54216,37889,0.0638529906286986,"she"
"swish",1,1,54216,37889,0.0638529906286986,"she"
"tear",1,1,54216,37889,0.0638529906286986,"she"
"tear",1,1,54216,37889,0.0638529906286986,"she"
"tempt",1,1,54216,37889,0.0638529906286986,"she"
"tempt",1,1,54216,37889,0.0638529906286986,"she"
"tempt",1,1,54216,37889,0.0638529906286986,"she"
"tempt",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"toil",1,1,54216,37889,0.0638529906286986,"she"
"twitch",1,1,54216,37889,0.0638529906286986,"she"
"twitch",1,1,54216,37889,0.0638529906286986,"she"
"twitch",1,1,54216,37889,0.0638529906286986,"she"
"undress",1,1,54216,37889,0.0638529906286986,"she"
"undress",1,1,54216,37889,0.0638529906286986,"she"
"undress",1,1,54216,37889,0.0638529906286986,"she"
"undress",1,1,54216,37889,0.0638529906286986,"she"
"unwound",1,1,54216,37889,0.0638529906286986,"she"
"unwound",1,1,54216,37889,0.0638529906286986,"she"
"value",1,1,54216,37889,0.0638529906286986,"she"
"value",1,1,54216,37889,0.0638529906286986,"she"
"value",1,1,54216,37889,0.0638529906286986,"she"
"value",1,1,54216,37889,0.0638529906286986,"she"
"value",1,1,54216,37889,0.0638529906286986,"she"
"waft",1,1,54216,37889,0.0638529906286986,"she"
"waft",1,1,54216,37889,0.0638529906286986,"she"
"waft",1,1,54216,37889,0.0638529906286986,"she"
"wheel",1,1,54216,37889,0.0638529906286986,"she"
"wheel",1,1,54216,37889,0.0638529906286986,"she"
"whisk",1,1,54216,37889,0.0638529906286986,"she"
"whisk",1,1,54216,37889,0.0638529906286986,"she"
"whisk",1,1,54216,37889,0.0638529906286986,"she"
"whisk",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"yank",1,1,54216,37889,0.0638529906286986,"she"
"reply",613,450,53604,37440,0.633598236207526,"she"
"drink",20,18,54197,37872,0.602128803735757,"she"
"fold",17,13,54200,37877,0.0594889758912727,"she"
"call",256,183,53961,37707,0.0547749949529512,"she"
"wipe",13,10,54204,37880,0.0518058602570655,"she"
"cross",24,18,54193,37872,0.0511452796487097,"she"
"roll",24,18,54193,37872,0.0511452796487097,"she"
"relax",8,8,54209,37882,0.510902835494865,"she"
"scoff",8,8,54209,37882,0.510902835494865,"she"
"sip",27,23,54190,37867,0.483667839517813,"she"
"ignore",31,23,54186,37867,0.0471212107309278,"she"
"sit",176,133,54041,37757,0.462697920079693,"she"
"die",9,7,54208,37883,0.0448610631584784,"she"
"fire",5,4,54212,37886,0.0403696752594531,"she"
"fly",5,4,54212,37886,0.0403696752594531,"she"
"fly",5,4,54212,37886,0.0403696752594531,"she"
"realize",5,4,54212,37886,0.0403696752594531,"she"
"regret",5,4,54212,37886,0.0403696752594531,"she"
"wander",5,4,54212,37886,0.0403696752594531,"she"
"wander",5,4,54212,37886,0.0403696752594531,"she"
"greet",21,18,54196,37872,0.401353056073237,"she"
"fill",6,6,54211,37884,0.383160215339543,"she"
"smooth",6,6,54211,37884,0.383160215339543,"she"
"chide",16,14,54201,37876,0.374714857889551,"she"
"utter",16,14,54201,37876,0.374714857889551,"she"
"pat",29,24,54188,37866,0.373147405258629,"she"
"concede",37,30,54180,37860,0.363823361671685,"she"
"arch",5,5,54212,37885,0.319293133554091,"she"
"arch",5,5,54212,37885,0.319293133554091,"she"
"fetch",5,5,54212,37885,0.319293133554091,"she"
"scan",5,5,54212,37885,0.319293133554091,"she"
"scan",5,5,54212,37885,0.319293133554091,"she"
"usher",5,5,54212,37885,0.319293133554091,"she"
"open",89,68,54128,37822,0.305773459775327,"she"
"fumble",10,9,54207,37881,0.301001509861685,"she"
"poke",10,9,54207,37881,0.301001509861685,"she"
"gaze",47,37,54170,37853,0.292266059302785,"she"
"settle",12,9,54205,37881,0.0255667847977885,"she"
"count",4,4,54213,37886,0.255428870385404,"she"
"direct",4,4,54213,37886,0.255428870385404,"she"
"direct",4,4,54213,37886,0.255428870385404,"she"
"fiddle",4,4,54213,37886,0.255428870385404,"she"
"fiddle",4,4,54213,37886,0.255428870385404,"she"
"fiddle",4,4,54213,37886,0.255428870385404,"she"
"focus",4,4,54213,37886,0.255428870385404,"she"
"focus",4,4,54213,37886,0.255428870385404,"she"
"scoop",4,4,54213,37886,0.255428870385404,"she"
"seek",4,4,54213,37886,0.255428870385404,"she"
"treat",4,4,54213,37886,0.255428870385404,"she"
"ease",9,8,54208,37882,0.243334107385115,"she"
"love",9,8,54208,37882,0.243334107385115,"she"
"swivel",9,8,54208,37882,0.243334107385115,"she"
"thank",9,8,54208,37882,0.243334107385115,"she"
"tuck",9,8,54208,37882,0.243334107385115,"she"
"smile",741,532,53476,37358,0.227732243590875,"she"
"squeeze",19,14,54198,37876,0.0225240541423725,"she"
"yell",108,76,54109,37814,0.00213301687048362,"she"
"reveal",17,14,54200,37876,0.205624905324103,"she"
"mourn",3,3,54214,37887,0.191567425620163,"she"
"parry",3,3,54214,37887,0.191567425620163,"she"
"pop",3,3,54214,37887,0.191567425620163,"she"
"rebuke",3,3,54214,37887,0.191567425620163,"she"
"smack",3,3,54214,37887,0.191567425620163,"she"
"view",3,3,54214,37887,0.191567425620163,"she"
"yelp",3,3,54214,37887,0.191567425620163,"she"
"yelp",3,3,54214,37887,0.191567425620163,"she"
"probe",8,7,54209,37883,0.187326565976483,"she"
"persist",47,36,54170,37854,0.170744337215946,"she"
"clasp",8,6,54209,37884,0.0170432224666086,"she"
"drain",8,6,54209,37884,0.0170432224666086,"she"
"pray",8,6,54209,37884,0.0170432224666086,"she"
"stamp",8,6,54209,37884,0.0170432224666086,"she"
"lay",22,16,54195,37874,0.0146870451878568,"she"
"avoid",7,5,54210,37885,0.00138904663947348,"she"
"live",7,5,54210,37885,0.00138904663947348,"she"
"straighten",27,21,54190,37869,0.134630246727359,"she"
"stir",7,6,54210,37884,0.133746186624123,"she"
"blame",2,2,54215,37888,0.127708799116131,"she"
"bolt",2,2,54215,37888,0.127708799116131,"she"
"bolt",2,2,54215,37888,0.127708799116131,"she"
"bounce",2,2,54215,37888,0.127708799116131,"she"
"burble",2,2,54215,37888,0.127708799116131,"she"
"bustle",2,2,54215,37888,0.127708799116131,"she"
"busy",2,2,54215,37888,0.127708799116131,"she"
"busy",2,2,54215,37888,0.127708799116131,"she"
"cheer",2,2,54215,37888,0.127708799116131,"she"
"cheer",2,2,54215,37888,0.127708799116131,"she"
"clamber",2,2,54215,37888,0.127708799116131,"she"
"clatter",2,2,54215,37888,0.127708799116131,"she"
"cluck",2,2,54215,37888,0.127708799116131,"she"
"collapse",2,2,54215,37888,0.127708799116131,"she"
"commence",2,2,54215,37888,0.127708799116131,"she"
"commence",2,2,54215,37888,0.127708799116131,"she"
"dangle",2,2,54215,37888,0.127708799116131,"she"
"deposit",2,2,54215,37888,0.127708799116131,"she"
"deposit",2,2,54215,37888,0.127708799116131,"she"
"deposit",2,2,54215,37888,0.127708799116131,"she"
"deposit",2,2,54215,37888,0.127708799116131,"she"
"flee",2,2,54215,37888,0.127708799116131,"she"
"hover",2,2,54215,37888,0.127708799116131,"she"
"hunch",2,2,54215,37888,0.127708799116131,"she"
"hunch",2,2,54215,37888,0.127708799116131,"she"
"hunch",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"jabber",2,2,54215,37888,0.127708799116131,"she"
"lever",2,2,54215,37888,0.127708799116131,"she"
"lever",2,2,54215,37888,0.127708799116131,"she"
"lever",2,2,54215,37888,0.127708799116131,"she"
"lever",2,2,54215,37888,0.127708799116131,"she"
"marvel",2,2,54215,37888,0.127708799116131,"she"
"opt",2,2,54215,37888,0.127708799116131,"she"
"opt",2,2,54215,37888,0.127708799116131,"she"
"peel",2,2,54215,37888,0.127708799116131,"she"
"peel",2,2,54215,37888,0.127708799116131,"she"
"peel",2,2,54215,37888,0.127708799116131,"she"
"peel",2,2,54215,37888,0.127708799116131,"she"
"present",2,2,54215,37888,0.127708799116131,"she"
"present",2,2,54215,37888,0.127708799116131,"she"
"present",2,2,54215,37888,0.127708799116131,"she"
"ram",2,2,54215,37888,0.127708799116131,"she"
"ram",2,2,54215,37888,0.127708799116131,"she"
"ram",2,2,54215,37888,0.127708799116131,"she"
"rejoin",2,2,54215,37888,0.127708799116131,"she"
"rejoin",2,2,54215,37888,0.127708799116131,"she"
"rejoin",2,2,54215,37888,0.127708799116131,"she"
"rejoin",2,2,54215,37888,0.127708799116131,"she"
"rejoin",2,2,54215,37888,0.127708799116131,"she"
"rejoin",2,2,54215,37888,0.127708799116131,"she"
"riffle",2,2,54215,37888,0.127708799116131,"she"
"scrabble",2,2,54215,37888,0.127708799116131,"she"
