"Word","He","She","c","d","GStat","Association"
"cover",2,6,54215,37884,3.78195713484762,"she"
"fight",2,6,54215,37884,3.78195713484762,"she"
"hazard",2,6,54215,37884,3.78195713484762,"she"
"spring",2,6,54215,37884,3.78195713484762,"she"
"wince",8,13,54209,37877,3.66481822127489,"she"
"tease",42,44,54175,37846,3.51208488501031,"she"
"demur",3,7,54214,37883,3.39851819477518,"she"
"quaver",3,7,54214,37883,3.39851819477518,"she"
"screech",3,7,54214,37883,3.39851819477518,"she"
"follow",32,35,54185,37855,3.35080568573441,"she"
"croon",4,8,54213,37882,3.17595180396744,"she"
"flounder",4,8,54213,37882,3.17595180396744,"she"
"remonstrate",4,8,54213,37882,3.17595180396744,"she"
"comfort",1,4,54216,37886,3.16216769274011,"she"
"creep",1,4,54216,37886,3.16216769274011,"she"
"creep",1,4,54216,37886,3.16216769274011,"she"
"excuse",1,4,54216,37886,3.16216769274011,"she"
"gabble",1,4,54216,37886,3.16216769274011,"she"
"link",1,4,54216,37886,3.16216769274011,"she"
"phone",1,4,54216,37886,3.16216769274011,"she"
"sag",1,4,54216,37886,3.16216769274011,"she"
"strain",1,4,54216,37886,3.16216769274011,"she"
"surprise",1,4,54216,37886,3.16216769274011,"she"
"vanish",1,4,54216,37886,3.16216769274011,"she"
"meet",18,22,54199,37868,3.11230945495699,"she"
"tug",5,9,54212,37881,3.03959855760607,"she"
"weep",5,9,54212,37881,3.03959855760607,"she"
"sweep",14,18,54203,37872,2.95721379216399,"she"
"attempt",6,10,54211,37880,2.95525189717517,"she"
"attempt",6,10,54211,37880,2.95525189717517,"she"
"snatch",7,11,54210,37879,2.90482639069646,"she"
"accuse",24,27,54193,37863,2.88133560626103,"she"
"explode",10,14,54207,37876,2.86999994966471,"she"
"purr",10,14,54207,37876,2.86999994966471,"she"
"rush",10,14,54207,37876,2.86999994966471,"she"
"guess",9,13,54208,37877,2.86762992425359,"she"
"hug",9,13,54208,37877,2.86762992425359,"she"
"wait",56,54,54161,37836,2.83502455079614,"she"
"finish",76,70,54141,37820,2.76240376791221,"she"
"accept",21,24,54196,37866,2.71308212428581,"she"
"dart",2,5,54215,37885,2.62689029469176,"she"
"enunciate",2,5,54215,37885,2.62689029469176,"she"
"hasten",2,5,54215,37885,2.62689029469176,"she"
"prepare",2,5,54215,37885,2.62689029469176,"she"
"scrape",2,5,54215,37885,2.62689029469176,"she"
"remind",61,57,54156,37833,2.47284538375702,"she"
"mutter",355,281,53862,37609,2.43659829663407,"she"
"jump",24,26,54193,37864,2.39424895091942,"she"
"face",4,7,54213,37883,2.25501918095319,"she"
"whirl",4,7,54213,37883,2.25501918095319,"she"
"rest",10,13,54207,37877,2.20219812414086,"she"
"draw",81,72,54136,37818,2.19328487327796,"she"
"withdraw",6,9,54211,37881,2.15823314750596,"she"
"eye",27,28,54190,37862,2.13370460272527,"she"
"charge",3,6,54214,37884,2.3818849317491,"she"
"march",7,10,54210,37880,2.1502601121467,"she"
"bristle",1,3,54216,37887,1.89089629274888,"she"
"bristle",1,3,54216,37887,1.89089629274888,"she"
"curl",1,3,54216,37887,1.89089629274888,"she"
"double",1,3,54216,37887,1.89089629274888,"she"
"double",1,3,54216,37887,1.89089629274888,"she"
"feign",1,3,54216,37887,1.89089629274888,"she"
"gibe",1,3,54216,37887,1.89089629274888,"she"
"gibe",1,3,54216,37887,1.89089629274888,"she"
"gibe",1,3,54216,37887,1.89089629274888,"she"
"gibe",1,3,54216,37887,1.89089629274888,"she"
"justify",1,3,54216,37887,1.89089629274888,"she"
"lock",1,3,54216,37887,1.89089629274888,"she"
"opine",1,3,54216,37887,1.89089629274888,"she"
"plough",1,3,54216,37887,1.89089629274888,"she"
"quiver",1,3,54216,37887,1.89089629274888,"she"
"relent",1,3,54216,37887,1.89089629274888,"she"
"scorn",1,3,54216,37887,1.89089629274888,"she"
"square",1,3,54216,37887,1.89089629274888,"she"
"suspect",1,3,54216,37887,1.89089629274888,"she"
"suspect",1,3,54216,37887,1.89089629274888,"she"
"suspect",1,3,54216,37887,1.89089629274888,"she"
"slip",23,24,54194,37866,1.88107418154973,"she"
"storm",14,16,54203,37874,1.80842103532127,"she"
"give",405,313,53812,37577,1.79327610442666,"she"
"splutter",13,15,54204,37875,1.75405926452794,"she"
"laugh",484,370,53733,37520,1.69672435903357,"she"
"husk",10,12,54207,37878,1.60144167893482,"she"
"pant",10,12,54207,37878,1.60144167893482,"she"
"beat",2,4,54215,37886,1.58787067731006,"she"
"qualify",2,4,54215,37886,1.58787067731006,"she"
"squint",2,4,54215,37886,1.58787067731006,"she"
"squirm",2,4,54215,37886,1.58787067731006,"she"
"tremble",2,4,54215,37886,1.58787067731006,"she"
"snort",18,19,54199,37871,1.56723254896374,"she"
"confide",24,24,54193,37866,1.53324988328146,"she"
"work",8,10,54209,37880,1.51426262671474,"she"
"look",1175,867,53042,37023,1.50139834990096,"she"
"apologize",3,5,54214,37885,1.47749495242771,"she"
"choose",3,5,54214,37885,1.47749495242771,"she"
"choose",3,5,54214,37885,1.47749495242771,"she"
"crow",3,5,54214,37885,1.47749495242771,"she"
"join",3,5,54214,37885,1.47749495242771,"she"
"lose",3,5,54214,37885,1.47749495242771,"she"
"round",3,5,54214,37885,1.47749495242771,"she"
"simper",3,5,54214,37885,1.47749495242771,"she"
"complain",44,40,54173,37850,1.44041606166112,"she"
"halt",4,6,54213,37884,1.43874230801183,"she"
"recognize",4,6,54213,37884,1.43874230801183,"she"
"recognize",4,6,54213,37884,1.43874230801183,"she"
"volunteer",4,6,54213,37884,1.43874230801183,"she"
"wrench",4,6,54213,37884,1.43874230801183,"she"
"pretend",5,7,54212,37883,1.43480896896507,"she"
"touch",31,29,54186,37861,1.26644837084753,"she"
"enquire",154,123,54063,37767,1.21619468023961,"she"
"cast",18,18,54199,37872,1.14978511643823,"she"
"bang",11,12,54206,37878,1.13638144829128,"she"
"ponder",10,7,54207,37883,1.09726275662591e-05,"she"
"sink",10,7,54207,37883,1.09726275662591e-05,"she"
"stutter",10,7,54207,37883,1.09726275662591e-05,"she"
"promise",47,41,54170,37849,1.07006815204447,"she"
"throw",68,57,54149,37833,1.01999433023001,"she"
"peer",22,17,54195,37873,0.0964037848433945,"she"
"expect",8,9,54209,37881,0.960083820323259,"she"
"toss",25,18,54192,37872,0.00928444426932984,"she"
"hate",7,8,54210,37882,0.904060377630287,"she"
"implore",7,8,54210,37882,0.904060377630287,"she"
"insist",117,93,54100,37797,0.855865549743253,"she"
"parody",4,3,54213,37887,0.00852096096994745,"she"
"receive",4,3,54213,37887,0.00852096096994745,"she"
"receive",4,3,54213,37887,0.00852096096994745,"she"
"receive",4,3,54213,37887,0.00852096096994745,"she"
"shine",4,3,54213,37887,0.00852096096994745,"she"
"stagger",4,3,54213,37887,0.00852096096994745,"she"
"stagger",4,3,54213,37887,0.00852096096994745,"she"
"whip",4,3,54213,37887,0.00852096096994745,"she"
"finger",6,7,54211,37883,0.850464097715763,"she"
"finger",6,7,54211,37883,0.850464097715763,"she"
"purse",6,7,54211,37883,0.850464097715763,"she"
"tack",6,7,54211,37883,0.850464097715763,"she"
"bring",19,18,54198,37872,0.850323783998761,"she"
"clench",6,5,54211,37885,0.0839212529043997,"she"
"dare",6,5,54211,37885,0.0839212529043997,"she"
"fume",6,5,54211,37885,0.0839212529043997,"she"
"fume",6,5,54211,37885,0.0839212529043997,"she"
"pursue",6,5,54211,37885,0.0839212529043997,"she"
"reprove",6,5,54211,37885,0.0839212529043997,"she"
"tip",6,5,54211,37885,0.0839212529043997,"she"
"cackle",5,6,54212,37884,0.800623264148755,"she"
"bundle",1,2,54216,37888,0.793909035210994,"she"
"but",1,2,54216,37888,0.793909035210994,"she"
"but",1,2,54216,37888,0.793909035210994,"she"
"claw",1,2,54216,37888,0.793909035210994,"she"
"claw",1,2,54216,37888,0.793909035210994,"she"
"concur",1,2,54216,37888,0.793909035210994,"she"
"concur",1,2,54216,37888,0.793909035210994,"she"
"control",1,2,54216,37888,0.793909035210994,"she"
"control",1,2,54216,37888,0.793909035210994,"she"
"descend",1,2,54216,37888,0.793909035210994,"she"
"deserve",1,2,54216,37888,0.793909035210994,"she"
"deserve",1,2,54216,37888,0.793909035210994,"she"
"enjoy",1,2,54216,37888,0.793909035210994,"she"
"entreat",1,2,54216,37888,0.793909035210994,"she"
"entreat",1,2,54216,37888,0.793909035210994,"she"
"entreat",1,2,54216,37888,0.793909035210994,"she"
"entreat",1,2,54216,37888,0.793909035210994,"she"
"hint",1,2,54216,37888,0.793909035210994,"she"
"hint",1,2,54216,37888,0.793909035210994,"she"
"hint",1,2,54216,37888,0.793909035210994,"she"
